year,state,postal code,district,margin,total votes,initial sample,expected sample
1980,Illinois,IL,2,0.7626712468262481,147302,6,7
1980,Illinois,IL,3,0.3780766914274242,199240,13,13
1980,Illinois,IL,4,0.3593482372252355,224192,13,13
1980,Illinois,IL,5,0.5927865605234133,133279,8,8
1980,Illinois,IL,6,0.3394310484963425,184550,14,14
1980,Illinois,IL,7,0.7015632804446476,94097,7,7
1980,Illinois,IL,8,0.6932793689257818,116373,7,7
1980,Illinois,IL,9,0.4616223557494444,145788,10,11
1980,Illinois,IL,10,0.21478567301627907,226733,22,22
1980,Illinois,IL,11,0.3960492433189121,173587,12,12
1980,Illinois,IL,12,0.48175471743429216,249818,10,10
1980,Illinois,IL,13,0.43305824766431555,183458,11,11
1980,Illinois,IL,14,0.5357998392892339,263828,9,9
1980,Illinois,IL,15,0.5349279571150296,196619,9,9
1980,Illinois,IL,16,0.3483745631432383,197147,14,14
1980,Illinois,IL,17,0.3165751840553396,191111,15,15
1980,Illinois,IL,18,0.24296808105205328,202043,19,20
1980,Illinois,IL,19,0.4674768095735431,194369,10,10
1980,Illinois,IL,20,0.12014411667279254,220377,39,41
1980,Illinois,IL,21,0.35116680806697265,195662,14,14
1980,Illinois,IL,22,0.37697744708339814,212079,13,13
1980,Illinois,IL,23,0.287535089291047,167430,16,17
1980,Illinois,IL,24,0.008576584784665522,228296,534,2142
1980,Indiana,IN,1,0.4402293751968782,155553,11,11
1980,Indiana,IN,2,0.08117711007897191,226283,57,62
1980,Indiana,IN,3,0.0996044588277598,189108,46,50
1980,Indiana,IN,4,0.2143418943037783,198342,22,23
1980,Indiana,IN,5,0.2339553590149248,209852,20,21
1980,Indiana,IN,6,0.0039870105526594425,197391,1148,197391
1980,Indiana,IN,7,0.3291639457611493,208264,14,15
1980,Indiana,IN,8,0.10327337232184927,216474,45,48
1980,Indiana,IN,9,0.28737127371273713,212175,16,17
1980,Indiana,IN,10,0.06747646711609556,193134,68,75
1980,Indiana,IN,11,0.14507819837034705,184211,32,34
1980,Iowa,IA,1,0.2918971125985652,208111,16,17
1980,Iowa,IA,2,0.08910440682559502,206634,52,56
1980,Iowa,IA,3,0.029217175927028508,209945,157,201
1980,Iowa,IA,4,0.08032659409020218,218620,57,62
1980,Iowa,IA,5,0.20447150451812193,212367,23,24
1980,Iowa,IA,6,0.2860733337969264,201326,16,17
1980,Kansas,KS,1,0.24577847702312805,195131,19,20
1980,Kansas,KS,2,0.07748410604935167,170977,60,65
1980,Kansas,KS,3,0.13641484729454037,197046,34,36
1980,Kansas,KS,4,0.378599656500642,179913,13,13
1980,Kansas,KS,5,0.5017337816434881,190047,10,10
1980,Kentucky,KY,1,1,118565,5,5
1980,Kentucky,KY,2,0.3133482672288839,151780,15,15
1980,Kentucky,KY,3,0.2909058519640153,134724,16,17
1980,Kentucky,KY,4,0.3396143197989234,188187,14,14
1980,Kentucky,KY,5,0.3495424993980255,166120,14,14
1980,Kentucky,KY,6,0.18376328532094208,179051,25,26
1980,Kentucky,KY,7,1,117665,5,5
1980,Louisiana,LA,1,0.7941224136999622,92555,6,6
1980,Louisiana,LA,2,0.2638070717010636,74183,18,18
1980,Louisiana,LA,3,0.7022289456145733,94529,7,7
1980,Louisiana,LA,4,0.2767202611963285,162330,17,17
1980,Louisiana,LA,5,0.7767961469406367,105267,6,6
1980,Louisiana,LA,6,0.8140776959040164,130689,6,6
1980,Louisiana,LA,7,1,1,5,5
1980,Louisiana,LA,8,0.43489022029006685,109492,11,11
1980,Maine,ME,1,0.369696287719018,275491,13,13
1980,Maine,ME,2,0.5701458845726222,237448,9,9
1980,Maryland,MD,1,0.03494171087322512,188886,131,161
1980,Maryland,MD,2,0.1472001820094986,210978,32,33
1980,Maryland,MD,3,0.5225911124011104,134367,9,9
1980,Maryland,MD,4,0.43721786647659777,168360,11,11
1980,Maryland,MD,5,0.6099082958824243,131728,8,8
1980,Maryland,MD,6,0.3980020477097228,209014,12,12
1980,Maryland,MD,7,0.7694844834812399,109754,6,6
1980,Maryland,MD,8,0.1865978556569051,249960,25,26
1980,Massachusetts,MA,1,0.497901823523501,208991,10,10
1980,Massachusetts,MA,2,0.456622046586703,179665,11,11
1980,Massachusetts,MA,3,0.44614190200374904,195783,11,11
1980,Massachusetts,MA,4,0.037958430302543936,199376,121,146
1980,Massachusetts,MA,5,0.31936465674003117,207321,15,15
1980,Massachusetts,MA,6,0.037403594868122794,219257,123,148
1980,Massachusetts,MA,7,0.9996918790882189,155783,5,5
1980,Massachusetts,MA,8,0.5677323474415743,164183,9,9
1980,Massachusetts,MA,9,0.9993079983853296,104046,5,5
1980,Massachusetts,MA,10,0.21231827735440342,217433,22,23
1980,Massachusetts,MA,11,0.9991832091130526,137122,5,5
1980,Massachusetts,MA,12,0.4643277827844485,267421,10,10
1980,Michigan,MI,1,0.8987330108269984,130230,6,6
1980,Michigan,MI,2,0.15863152313417675,201801,29,31
1980,Michigan,MI,3,0.04824436328847268,217414,95,110
1980,Michigan,MI,4,0.507662123918672,199292,10,10
1980,Michigan,MI,5,0.07347923549905923,222158,63,69
1980,Michigan,MI,6,0.012391618825798586,219826,370,769
1980,Michigan,MI,7,0.8549775508019369,158803,6,6
1980,Michigan,MI,8,0.23065444885298997,204401,20,21
1980,Michigan,MI,9,0.9310660502586168,174776,5,5
1980,Michigan,MI,10,0.063842610174529,242252,72,80
1980,Michigan,MI,11,0.3167980496461847,223139,15,15
1980,Michigan,MI,12,0.10688593497571779,203647,43,46
1980,Michigan,MI,13,0.8410380066597772,87090,6,6
1980,Michigan,MI,14,0.07053269364516167,169666,65,72
1980,Michigan,MI,15,0.3602371941952978,167795,13,13
1980,Michigan,MI,16,0.41665731357079194,151465,11,12
1980,Michigan,MI,17,0.4767830949761643,174528,10,10
1980,Michigan,MI,18,0.32277607620073373,207977,15,15
1980,Michigan,MI,19,0.4675843273219661,231894,10,10
1980,Minnesota,MN,1,0.43552311435523117,238380,11,11
1980,Minnesota,MN,2,0.21289916675618029,260668,22,23
1980,Minnesota,MN,3,0.5121996451165594,237261,9,10
1980,Minnesota,MN,4,0.17988631008482564,203712,26,27
1980,Minnesota,MN,5,0.43369173640747105,180430,11,11
1980,Minnesota,MN,6,0.053375296341865976,266584,86,98
1980,Minnesota,MN,7,0.04267636127866992,259113,108,127
1980,Minnesota,MN,8,0.42462465944003247,258765,11,11
1980,Mississippi,MS,1,0.259584080791974,165561,18,19
1980,Mississippi,MS,2,0.39158576051779936,139050,12,12
1980,Mississippi,MS,3,1,128035,5,5
