year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,140923,702,109,1598,66,16287,2985,1721,4194,12,1539,4061,8069,465,11333,1311,44212,4552,1196,2998,248,3308,2298,25360,350,14714,29406,1527,1382,2236,377,11699,5774,46982,6457,1002,25581,41926,253,22782,810,5081,92332,2495,3440,404,3016,28484,2932,622,16204,1126
1978,86885,657,320,1154,37381,57322,1249,2310,180,0,8879,788,16,417,1108,4120,4556,2565,2402,0,561,21384,1550,8223,1296,264,432,468,2126,15,8111,36658,898,5222,1118,25,2135,716,333,3592,1473,1001,297,370,13961,1883,15,4643,7234,534,673,297
1980,101716,35680,930,47282,142,4452,13818,1791,5232,13,4863,14548,12415,642,1029,1718,5589,859,28117,1531,4136,6571,4909,3871,3863,21967,3207,211,504,83,1726,1992,8909,8175,39393,264,2613,1027,888,51336,617,40168,254,144,25408,2438,1069,9374,3487,2106,24835,51
1982,30270,1001,25,166,1153,6795,797,4025,1154,0,7170,520,12,2148,6588,9675,480,269,502,0,10770,3390,241,3063,4404,1117,16091,569,258,4677,290,8589,2149,1975,3030,82,5406,884,7744,1348,5942,1887,4186,129,740,630,5098,8389,331,1070,403,282
1984,90779,63264,340,4791,1324,1178,579,2243,277,9,442,1135,400,61,12718,2014,1096,234,1133,64,79,5260,8217,3749,451,396,1976,280,2526,308,319,900,153,29100,29199,42,1344,3006,1442,59215,3077,257,262,2727,7227,40,187,3480,390,4137,601,37
1986,60639,146,400,139,107,17208,20634,1237,39,0,542,15077,108,3949,5082,4185,604,88,372,6309,554,1209,79,33409,3899,4942,3230,1169,142,1262,331,246,84,45770,5845,18,1194,626,970,759,227,3888,4355,605,1863,5086,76,1074,10000,61,4852,34
1988,255127,168,115,202,343,62149,731,250210,283,11,63484,231,855,80,8934,1083,624,268,345,524,317,7456,544,1256,1068,1041,3810,3471,233,1580,320,3158,4974,4824,5239,391,775,1616,2451,7350,977,2861,1769,388,3179,206,5453,593,34875,2067,4590,133
1990,42098,23098,2182,320,122,5411,656,3771,68,0,3231,2201,98,1062,1206,1860,408,217,2288,1333,10446,349,3242,668,8227,73,4227,137,8463,96,2260,9937,46,836,2571,62,29562,380,997,7158,669,226,1245,279,1120,677,173,1165,3064,1971,1462,398
1992,119261,992,3009,8607,4823,12467,1909,1369,695,7,9545,82043,414,422,894,8713,34280,1604,5796,3752,1183,3120,1630,1654,401,543,12525,7630,8067,5577,17402,8135,824,14427,59838,412,16165,2165,4106,8765,110,8467,2416,2179,3907,4606,459,3733,1453,249,3551,963
1994,84139,141,78,366,5136,51391,380,1155,200,0,3095,5168,427,253,1124,3888,1433,1325,240,0,3467,184,3790,3756,7969,233,1639,1114,499,524,1290,4772,703,2422,4195,1099,4192,2734,4031,11503,451,1952,119,1031,4176,387,5032,4547,65752,102,950,462
1996,90452,7523,181,7785,2824,4310,13826,1533,257,7,1654,37271,3093,8418,4425,1068,41855,3570,44697,1393,1499,433,2147,719,1916,2237,7189,4345,267,916,7500,6841,1186,1547,3108,1179,9476,1957,3970,1036,94,1507,7781,6400,5343,2371,111,13542,5283,260,50845,552
1998,19793,412,54,1072,422,10128,4019,246,49,0,375,1519,77,1185,8667,7406,553,1880,5624,30,73,170,395,1202,2293,1011,713,510,48,2856,692,5216,1250,1088,6146,126,1083,178,3533,1800,38,1111,87,641,1189,651,56,131,1653,27,8425,110
2000,97370,283,51,1109,46154,43095,1050,449,462,8,1986,1317,209,63,10731,2991,404,5914,836,748,1553,1267,85,20651,48950,295,18842,3580,11388,3778,33515,5733,1126,542,626,597,4268,306,377,3480,222,280,83,2215,1170,248,425,4049,2005,4564,5530,53
2002,82515,39269,18,4526,1236,1109,2702,735,146,0,54763,4318,202,117,491,3528,1346,4236,4753,1339,3151,3807,114,303,11508,292,146,72,48,352,2293,596,667,937,1225,2441,297,996,788,9131,121,347,863,1476,5059,112,33,135,2369,208,120,95
2004,527693,161,3845,474,708,1118,4010,2039,861,8,52322,2858,661,48,5118,1068,510240,385,36040,576,442,468,100,5041,4694,215,1287,133,654,7336,26376,1428,655,842,2638,180,10567,458,3298,14684,135,760,837,432,3712,373,166,901,1732,375,591,299
2006,57228,130,139,3018,164,6049,6606,3506,97,0,31237,113,112,1923,8264,2224,5037,4298,7694,610,73,403,65,3691,1694,102,10883,130,707,27630,7967,448,156,12473,822,72,2605,126,532,4192,1358,293,33,7104,1197,120,770,5728,5207,263,10397,25
2008,49017,2834,2141,1085,106,5820,893,4345,122,6,6167,2230,30,117,1653,47067,688,2502,2815,5039,461,157,113,7874,5998,578,7225,8203,3374,1848,2045,2844,623,11712,820,640,3014,222,3844,8737,107,3484,848,207,1380,92,30,2302,1373,343,943,704
