year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9100742,1339,216,195257,160,386526,247423,4461,7953,17,5175,7546,14961,167473,234244,221031,272116,55751,2560,9503,483521,8010,6274,223274,1189,20880,23574,2317,3768,3646,809,33328,14289,33784,14067,2396,4336813,69930,1030538,221080,1072,9117,58254,3828,203532,1213,4106,192419,223898,1367,33245,1516
1978,3744598,1414,655,1639,13780,42091,144759,4497,596,0,25138,1111,38,598,182047,10527,9973,4817,3364,130900,932,11298,2543,190031,3955,682,1594,1420,3602,32,18390,24611,1997,21191,3954,64,147284,1274,770,170330,2673,3141,129818,794,678909,3043,23,1232198,13128,494450,2177,371
1980,8773203,53264,1442,53959,837853,176111,27165,238139,11851,19,8872,24766,18765,441307,231447,204345,11926,2230,37228,3074,6684,14011,2535193,230951,11909,41923,7370,498,823,252,4565,219941,21921,26505,495111,358,6911,35274,293495,228684,1448,61722,623,1617943,37563,3794,210884,210443,9657,6927,45966,115
1982,2939531,166745,44,167319,1542,24606,1498,192189,2561,0,18425,1134,37,4923,216249,22896,1476,686,1576,0,14059,3174,961,8328,270982,62615,213201,1600,551,12665,658,12776,5148,7655,178095,136,10470,1295,12810,523955,14177,4317,8008,146647,142086,1551,8141,444384,1116,2351,1318,422
1984,6208523,18066,537,11551,2602,5937,1992,4894,672,13,2159,3129,596,202532,259089,239357,208724,677,1294283,147,316,13224,13447,219302,2086009,39379,7140,578,5672,482,581,3547,468,39146,945917,106,3641,3907,4239,292474,6071,959,535,3231,29215,213896,319,7154,1446,6990,2114,86
1986,2965654,1212266,1061,473,285,34457,45204,1955,71,0,1267,21828,205,8006,144524,160976,37535,244,689,14162,997,132967,392,15273,196411,6929,11932,1692,402,3199,567,1029,181,201249,338930,289037,3262,1552,1828,3399,352,9598,8156,1587,5518,8639,105,1992,26156,184,6912,42
1988,2493562,639,265,682,440,49510,1614,206463,660,15,354285,1137,1343,272,204398,4224,1620,679,1052,1126,757,199046,1461,4740,3264,3355,7546,7990,222940,4445,693,6921,10679,220910,228221,724,2329,3092,225807,15955,2201,8482,1865,1306,6761,708,10548,1597,263452,3481,10711,181173
1990,1719399,10464,5627,839,349,359283,2075,9149,183,0,11370,161114,215,2306,3088,162715,167201,742,124327,2970,16100,879,6622,2585,13967,135,198849,310,14199,213,3345,22700,114,4640,206163,72,18940,846,2197,11650,1128,589,1323,786,4961,1405,324,143455,7214,5054,3737,902
1992,5738663,51724,5481,17071,12897,463433,5229,1560781,1299,14,291602,461511,542,1026,4599,22897,294853,3346,9799,248173,2299,10909,4518,291691,543149,1331,26125,15914,12988,12165,49139,15355,1469,60588,119651,886,265953,5567,7318,500427,250,21051,4321,220664,13642,6387,1106,7564,49230,478,8453,1821
1994,3331001,175940,119,1261,7618,502482,754,188447,543,0,10964,6265,627,822,4855,12863,3147,2940,280297,0,9975,829,8677,12005,247490,785,3541,1547,186204,153001,2713,149500,1461,229522,168523,1592,44587,6247,261930,181471,1266,4191,125,182994,21355,994,6686,13722,54353,298,172769,729
1996,5347580,43247,369,268143,7438,261447,38145,231943,458,13,5036,99825,4475,13919,251704,29006,51728,12533,330093,1702687,3236,1564,282190,3833,5242,3683,14769,11375,916,466215,14246,16045,2047,7502,9675,1978,27814,4370,10614,461202,272,4059,16290,12528,21389,5955,247,22209,517631,364,44715,1220
1998,2332295,1000,113,2947,1064,40199,12224,157929,70,0,1136,3226,172,2012,17980,12181,1314,3692,1153760,191325,153,641,1043,3380,6531,1266,1792,897,126,442442,1274,10660,2611,12616,16216,446,4427,858,8565,178102,77,2313,153,1095,4848,864,114,394,5101,56,20708,209
2000,16450645,661,92,2870,22801,217893,2115,227563,1042,14,6214182,3690,385,149,16912,8603,1353946,7015,2690,1247,2493,2714,430,329677,331363,740,28223,7973,15480,7834,51389,310844,600731,5087,2311,1130,9669,957,1534746,12874,516,1057,187,5219,4232,642,692,9654,2468719,11279,2607825,108
2002,1287002,19580,35,6066,1388,4751,176703,1800,305,0,29059,158584,327,288,2136,9881,4648,7677,13049,3029,5484,5561,524,1258,16579,642,614,146,111,851,4372,1735,1225,182242,3406,3367,1324,1884,1270,24770,192,931,338586,3516,16187,224256,61,485,5212,362,393,171
2004,5525496,550,8225,1508,1772,6337,14180,5732,1197,11,66731,6938,1165,153,8625,290574,308477,1115,49731,116108,1368,905,509,8377,8554,634,3766,236,756,11244,37205,3050,757490,324136,6783,346,19473,900,5595,31897,262,1287,392803,1164,8476,792,241,2678,5709,954,2998348,456
2006,5783702,344,232,7755,375,14186,11480,249352,267,0,270151,302482,321,2813,14841,7768,13228,5632,13659,1263,152,1138,367,8933,4200,305,13840,406707,2079,30468,13553,200588,211393,258971,123896,119,465158,388,830,499588,1604,938,52,10546,5049,387,1154,2381591,9613,442,17261,196264
2008,20839665,293533,321007,3228,298,392456,2699,6290,347,10,21515,3975,90,347867,5258,79689,1925,4689,5763,321824,1543,360958,498,18252,2896336,1438,2936897,14739,5955,3788,4659,7341,1552,7760246,4313889,985,314149,606,7186,27432,207,7773,1176,843,7013,321,63,324267,3358,994,1952,809
2010,3202254,15421,3551,65063,1587,256054,29701,3320,263,0,5771,12350,2061,908,222656,191340,34468,440,240755,570,1187,1002,5928,18374,41010,3396,16490,112,222,270768,63065,12766,6586,618824,195069,878,9624,634,3768,250465,2106,1816,16354,1076,112757,4129,155,236844,29068,180488,11001,35
2012,3769427,535,388,310686,816,41806,21720,13037,309,10,443134,3310,1199,223,563793,58921,5265,521,5286,669,894,672,391981,353007,359421,1231,1795,6658,34416,51080,10139,2812,3334,87100,359873,321795,17318,603,1311,12300,806,2381,596,1124,7633,245500,125,11161,3327,1667,5657,107
2014,2051373,276,21278,223678,1974,263134,22801,2902,544,0,261818,2914,6010,314,15729,1127,20070,1119,732,4016,2947,191241,1704,4986,269448,350,1855,582,6432,8216,12612,2798,1160,245086,32625,279,1078,253,893,2302,386,842,219,593,117850,3128,72,125639,155450,8584,1293,56
2016,8778926,1272,947,8370,465,343607,6985,1132,922,11,71189,4108,138,237,5377,1860,4051,1116,759,1952,9725,1599,547,4801571,744016,427,11230,476,288456,341683,1524560,5983,1165,10981,9569,100,2320,391,1752,182115,475,1102,225,521,233142,894,200,5562,3023,376,140177,91
2018,12377502,574,1461,17721,2236,147529,2462,1027,241,0,8235227,598587,97,214,278477,4063,25285,265786,8364,225,281655,607,586,15578,301321,602,6658,10146,24483,5508,1527,313476,33705,330144,290034,746,12420,239339,1092,30362,305,288646,113,1202,270017,269675,98,40278,7255,7797,2454,118
