year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,43596,0,0,782,0,8747,0,362,633,140,0,462,0,0,256,0,0,0,0,222,308,60,3063,44,0,422,112,2590,92,0,199,474,729,0,145,9754,0,0,2953,397,0,0,3289,453,622,4645,237,41,0,46,1332
1978,4070365,11,35,0,24,0,325,0,290,0,20,0,69,1496,0,7980,726,171,0,140,0,929,5285,334,419,0,646,76,0,17932,608,1958,0,1216,0,0,85,172,0,36,671,88,318,2312540,0,0,1222256,0,493351,0,175
1980,2670254,9108,1615,80110,267,233,29338,511,0,7886,30716,26,439647,601,1930,1451,117,94,224,0,94,0,0,0,0,4971,0,0,191,4417,0,0,41,1797665,0,54,849,1215,16258,0,61,250,0,0,46,209124,0,1509,0,29651,0
1982,111678,0,0,318,0,2076,0,5251,706,204,0,22,0,0,1290,0,0,0,0,192,130,213,363,2484,120,30920,560,67,13709,0,9606,1579,11,0,111,368,0,0,235,15073,0,0,170,276,295,9978,14656,44,64,92,514
1984,1345039,133,54,0,429,0,110,0,247,0,23,0,41,26304,0,571,26,1292407,0,41,0,981,4606,339,190,0,368,5138,0,306,120,43,0,5818,0,0,35,83,0,47,67,39,118,274,0,0,58,0,6008,0,29
1986,1670856,1211897,811,210,156,39214,40816,118,0,1003,27486,45,8838,104,219,88,62,33,2965,0,192,0,0,0,0,3421,0,0,2835,91,0,0,1584,0,289013,152,898,128,453,0,141,8929,0,0,45,117,0,20441,0,8367,0
1988,548251,0,0,373,0,1251,0,204498,164,118791,0,27,0,0,71,0,0,0,0,20,180,100,205,403,1461,75,6829,390,4402,0,1321,150,69,0,226,510,0,0,79,1238,0,0,101,216,78,62,55,19416,98,4444,180964
1990,39960,190,76,0,5,0,487,0,125,0,0,0,171,103,0,1013,49,4526,0,181,0,476,361,13658,0,0,54,292,0,73,10117,44,0,3773,0,0,20,1741,0,157,84,1717,69,182,0,0,24,0,70,0,133
1992,1620845,88,350,129,244,3652,1049,1500661,0,109,57510,86,573,895,315,47,101,115,0,0,54,0,0,0,0,1843,0,0,710,10695,0,0,4276,5646,235,1085,214,2744,12296,0,9840,91,0,0,346,741,0,1395,0,2726,0
1994,68687,0,0,432,0,20333,0,538,466,61,0,37,0,0,71,0,0,0,0,150,238,301,952,3470,64,165,144,914,912,0,8529,1428,271,0,371,408,0,0,14754,97,0,0,432,165,51,896,10722,708,62,348,213
1996,1808721,1605,21,0,3542,0,2834,0,217,0,47272,0,337,344,0,3584,115,582,1700102,3093,0,1791,286,926,45,0,3596,388,0,9599,775,74,0,2077,0,0,421,5676,0,125,1133,13423,131,726,0,0,3201,0,32,0,662
1998,1632344,134,32,46,534,824,115,85,0,154,1865,22,46,10189,98,61,80,1145414,80,0,56,0,0,0,0,1155,0,0,435864,57,0,0,8916,5419,122,562,83,117,127,0,1925,148,0,0,92,35,0,337,0,17565,0
2000,2580347,0,0,16,0,232,0,106,585,4211,0,34,0,0,81,0,0,0,0,67,129,24,36080,3302,78,26789,7767,19649,354,0,10591,167,573,0,168,160,0,0,2036,401,0,0,74,78,78,56,4912,2461379,26,130,29
2002,378309,274,20,0,1692,0,4221,0,271,0,1979,0,87,205,0,845,16,114,300,310,0,26,230,20120,18,0,104,18,0,4367,1001,103,0,1339,0,0,186,356,0,31,799,337501,887,672,0,0,16,0,167,0,48
2004,555043,67,8357,30,674,237,3967,74,0,79077,327,29,7,50,167,47,57,60849,149,0,87,0,0,0,0,530,0,0,129,94,0,0,47,4395,65,114,687,84,940,0,1026,391188,0,0,52,42,0,552,0,863,0
2006,2816361,0,0,1031,0,144,0,858,54,193,0,154,0,0,15,0,0,0,0,29,797,61,362,239,111,18419,406505,108,464,0,360,49,16,0,58,639,0,0,329,1823,0,0,12365,132,84,71,2370445,313,31,63,53
2008,3227391,130,317723,0,28,0,890,0,113,0,435,0,176,59,0,151,166,2883,2181,199,0,74,115,2887646,211,0,38,311,0,2184,403,194,0,1296,0,0,299,8017,0,41,387,150,76,585,0,0,97,0,114,0,33
2010,74478,99,4083,156,190,936,32123,18,0,206,232,29,42,0,383,106,44,584,232,0,137,0,0,0,0,479,0,0,2856,175,0,0,15,716,32,271,47,285,22106,0,79,0,0,0,97,84,0,3792,0,3859,0
2012,419435,0,0,9754,0,160,0,18,59,504,0,166,0,0,2700,0,0,0,0,164,92,1710,209,73,352,383,5986,383,62373,0,239,2966,17,0,321144,2373,0,0,1046,97,0,0,69,380,73,40,2681,183,166,2859,32
2014,238468,8,19567,0,311,0,23440,0,526,0,1725,0,93,812,0,1090,783,396,5378,74,0,179,477,958,183,0,309,89,0,8955,586,736,0,38424,0,0,61,248,0,57,260,184,91,120,0,0,132213,0,119,0,31
2016,828669,121,316,469,157,162,2631,31,0,1539,485,35,70,351,1030,148,100,424,484,0,139,0,0,0,0,10543,0,0,13397,739140,0,0,1799,2803,22,236,50,131,43392,0,11,46,0,0,56,110,0,269,0,7984,0
2018,8260105,0,0,14748,0,1178,0,19,185,8190005,0,49,0,0,2433,0,0,0,0,233,74,163,2303,227,346,2512,6490,281,3678,0,817,134,5712,0,755,1710,0,0,505,167,0,0,717,14094,88,52,373,298,8955,760,61
