year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,8112,0,0,446,0,4657,0,242,331,78,0,214,0,0,115,0,0,0,0,130,211,36,1591,16,0,324,53,1306,44,0,112,269,437,0,91,4920,0,0,1576,291,0,0,2412,249,306,3041,119,21,0,29,1067
1978,10283,5,17,0,10,0,207,0,107,0,8,0,40,871,0,3869,379,115,0,50,0,523,2747,146,203,0,283,40,0,8123,341,901,0,703,0,0,43,96,0,19,443,47,158,0,0,0,0,0,0,0,112
1980,47461,5147,941,47337,143,92,13758,233,0,4656,14596,15,0,305,1186,789,56,42,97,0,56,0,0,0,0,2799,0,0,72,1733,0,0,16,0,0,30,343,684,9580,0,31,144,0,0,27,0,0,849,0,24333,0
1982,20667,0,0,161,0,1288,0,2313,279,132,0,10,0,0,678,0,0,0,0,99,78,121,149,1213,62,15360,332,43,4652,0,8568,663,3,0,77,162,0,0,116,5858,0,0,105,124,115,5101,8258,25,34,50,276
1984,14389,74,34,0,250,0,57,0,141,0,12,0,26,12669,0,295,12,0,0,22,0,448,3175,180,115,0,250,2519,0,204,61,24,0,2472,0,0,20,36,0,23,27,19,54,106,0,0,28,0,4166,0,21
1986,32001,0,365,107,91,17206,19793,70,0,511,15029,23,3970,56,147,46,37,15,2134,0,90,0,0,0,0,2040,0,0,1252,41,0,0,721,0,0,66,498,69,184,0,87,4364,0,0,27,76,0,8393,0,4868,0
1988,249662,0,0,164,0,680,0,249629,90,63537,0,12,0,0,42,0,0,0,0,7,90,56,81,213,718,44,3156,202,1609,0,777,99,37,0,152,377,0,0,41,860,0,0,58,89,55,37,29,9504,53,3015,0
1990,8939,95,35,0,0,0,324,0,50,0,0,0,91,47,0,409,26,2301,0,83,0,215,161,8244,0,0,23,183,0,35,6206,22,0,2247,0,0,10,909,0,71,44,1244,42,101,0,0,12,0,41,0,78
1992,33886,46,117,75,172,1820,539,0,0,81,32781,46,300,515,169,29,57,54,0,0,28,0,0,0,0,957,0,0,335,5897,0,0,2801,3665,124,582,85,1435,8669,0,5667,46,0,0,198,366,0,603,0,1933,0
1994,10952,0,0,241,0,7120,0,206,197,32,0,18,0,0,33,0,0,0,0,60,115,140,417,1804,32,84,65,509,519,0,4754,701,94,0,203,184,0,0,7509,45,0,0,241,88,29,432,4647,491,33,305,89
1996,25274,619,9,0,1643,0,1375,0,129,0,24471,0,201,196,0,2193,57,282,0,1378,0,1155,148,405,20,0,1547,152,0,5436,365,39,0,1081,0,0,466,3400,0,65,820,7261,56,375,0,0,1792,0,16,0,392
1998,11457,89,19,24,273,425,63,49,0,84,1381,12,17,5538,50,30,42,0,31,0,27,0,0,0,0,670,0,0,0,29,0,0,0,3023,58,328,69,46,68,0,1050,86,0,0,68,18,0,202,0,8150,0
2000,29972,0,0,8,0,127,0,49,264,1994,0,16,0,0,57,0,0,0,0,36,66,13,20592,3039,40,16833,3197,11346,157,0,5538,90,214,0,74,84,0,0,1252,220,0,0,44,39,43,39,2688,0,13,50,12
2002,12175,138,9,0,1226,0,2693,0,146,0,1007,0,65,113,0,425,11,58,90,136,0,11,155,11324,10,0,67,7,0,2290,524,55,0,1051,0,0,66,218,0,18,347,0,443,454,0,0,10,0,102,0,31
2004,65206,31,3852,14,412,153,2565,30,0,52221,213,14,3,32,84,20,30,36099,83,0,41,0,0,0,0,234,0,0,64,52,0,0,16,2425,26,54,424,39,522,0,695,0,0,0,22,20,0,316,0,576,0
2006,15907,0,0,550,0,62,0,689,32,94,0,86,0,0,6,0,0,0,0,14,371,31,162,139,56,10898,0,46,261,0,174,28,5,0,35,392,0,0,201,1360,0,0,7145,63,41,28,0,231,16,29,25
2008,4285,75,0,0,12,0,582,0,67,0,220,0,92,36,0,84,122,2097,1343,105,0,39,65,0,122,0,16,142,0,1520,169,124,0,601,0,0,178,3805,0,23,234,77,38,227,0,0,59,0,65,0,15
2010,19361,51,1865,90,124,660,15091,4,0,127,109,11,25,0,143,87,20,210,100,0,105,0,0,0,0,353,0,0,2381,85,0,0,4,392,17,147,24,137,12281,0,46,0,0,0,40,45,0,1526,0,2113,0
2012,36585,0,0,4200,0,97,0,3,34,268,0,113,0,0,1459,0,0,0,0,71,48,1000,92,49,172,216,2728,265,36966,0,121,1491,7,0,0,1411,0,0,630,38,0,0,47,180,39,18,1727,75,104,1314,23
2014,72855,4,8045,0,185,0,12896,0,289,0,1249,0,45,454,0,462,480,218,3172,40,0,74,205,638,76,0,179,51,0,5840,441,408,0,22868,0,0,36,117,0,33,119,119,44,65,0,0,69615,0,49,0,16
2016,27012,82,159,168,74,64,1165,10,0,800,295,22,58,172,612,72,60,223,218,0,70,0,0,0,0,5299,0,0,7063,0,0,0,0,1321,10,128,29,54,22358,0,4,22,0,0,39,69,0,130,0,3955,0
2018,13039,0,0,6837,0,575,0,2,95,0,0,23,0,0,1139,0,0,0,0,137,44,93,1503,55,63,1404,3028,164,2722,0,518,66,0,0,479,648,0,0,263,87,0,0,347,9731,45,32,186,162,5451,354,29
