year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,64094,489,30,1575,39,1788,2860,448,3589,701,4058,1649,460,1025,906,3297,4592,311,3089,211,2910,2273,25325,163,60,29694,496,528,9,103,6830,33,46909,6485,86,25138,6168,253,22427,69,5054,42,223,1266,226,41,2164,259,595,3155,294
1978,86066,658,322,1154,37381,57322,1173,2310,130,8879,788,16,415,683,4120,2064,2551,2377,0,560,21384,1407,8169,1307,140,432,370,2125,15,82,36631,80,5222,1050,25,2135,717,295,3592,1473,938,301,260,13961,1883,15,4643,7234,534,673,270
1980,69452,2794,13,192,13,4455,475,1801,50,905,163,12,643,361,1322,5595,833,181,111,31,3438,4909,3709,2824,569,696,201,503,38,120,2002,8937,8175,38547,261,2638,951,542,50339,274,8898,182,144,25414,2435,7,9324,3574,1607,8612,37
1982,21251,1001,25,71,1153,6841,797,3439,1123,7178,520,7,2148,6588,9651,480,269,502,0,10746,3381,226,3083,4010,1105,1532,498,254,358,290,1870,2155,1975,3030,25,5418,884,7744,1335,417,1887,4186,94,720,626,18,1063,331,1068,386,39
1984,89191,63281,342,4792,1311,1142,550,2243,182,437,1147,11,41,2145,2028,194,220,1133,0,40,5045,1174,2274,389,370,1978,77,69,304,248,912,111,29100,29454,13,1357,3006,1409,59240,86,245,252,2748,7211,40,21,3478,310,592,282,17
1986,56489,146,201,82,57,364,5935,1238,39,115,1583,107,611,5089,4199,606,74,375,6068,554,1217,79,33409,3899,4942,2619,1169,142,452,325,246,84,45690,5845,18,1203,306,975,723,227,3852,129,605,1863,5087,4,1074,4521,61,386,34
1988,65718,142,64,74,43,62256,103,115,38,1158,214,426,62,1629,1064,399,82,202,332,68,86,74,812,512,646,1150,427,63,169,330,3174,4317,4822,5230,18,321,1567,108,391,479,2885,29,330,3182,189,3629,555,370,108,161,54
1990,41165,23096,2184,320,122,5411,616,3771,46,3231,2201,98,1064,1195,1860,61,213,153,1333,10455,349,3225,661,844,73,4227,132,8509,96,2260,8347,39,836,692,62,29562,382,408,7158,666,225,40,283,1116,677,173,1166,3064,1981,1462,384
1992,44823,848,2880,1255,4776,12168,388,255,370,2450,1479,29,170,666,8591,34371,592,1592,55,947,3086,1589,1580,255,119,12533,3874,8069,1934,440,1822,339,14494,1270,222,2810,2208,3737,3463,26,3377,25,232,2931,4576,83,3273,1085,53,1132,137
1994,86234,141,78,304,5136,52172,380,1148,31,3101,5168,427,253,1124,3891,1433,1325,240,0,3461,155,3823,3718,7495,237,1638,1121,90,46,1290,211,75,2429,4195,1093,4178,2734,4031,8262,446,1952,119,1037,4196,391,5108,1338,65815,102,944,456
