year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3239316,1125,61,195314,84,360076,248149,1878,6091,2470,8739,3282,167473,217355,220220,211319,187130,1370,8799,452,6133,6120,223416,743,227,25963,1158,1225,19,281,21357,103,43351,15542,133,229945,16777,739,214199,161,10847,89,875,197162,774,77,152989,218710,1352,6929,557
1978,1569121,1704,844,2122,26926,61206,144472,5075,291,20255,1453,44,736,181316,13110,4416,6061,4781,130900,1071,18164,2472,190364,4242,390,1868,927,4458,35,219,37137,152,24494,3686,63,148770,1559,801,172914,3477,2864,129864,640,175219,3825,27,11048,18624,1154,2538,363
1980,2468930,5802,35,559,28,179359,1490,238232,136,2803,631,32,1788,230236,203686,13804,2155,641,367,97,8067,12932,230871,8789,1065,2339,473,1098,51,330,219765,24884,31250,51408,445,7629,147776,291900,225246,810,18052,405,437,47052,4819,19,213584,9808,3731,21963,73
1982,3151177,167302,50,167101,1907,28414,1995,189016,2346,21153,1340,23,6116,219460,28416,1813,838,1716,0,17790,4566,912,9991,439980,149934,186363,1183,560,809,812,5630,4499,9071,179655,51,13405,1685,17000,524868,854,5084,8734,146567,142516,1605,39,432495,1228,2695,1558,55
1984,3121799,45892,563,11094,2528,6921,1905,5627,341,2605,3584,35,202464,239901,240345,206842,673,2078,0,147,11908,3158,216855,1468,183240,7602,186,176,583,320,4041,303,46474,1093564,26,4047,4528,4253,302281,154,961,428,4273,30603,213888,51,8526,1244,1865,1236,36
1986,1507251,442,397,301,191,4016,17570,2545,83,604,2989,227,1274,147482,162898,162446,234,855,12524,986,133019,489,26021,197863,8766,9693,1974,458,1138,596,1252,242,206449,341620,35,4138,766,2259,3772,452,12300,243,1821,6392,11616,10,2654,11803,207,1099,66
1988,1873749,514,141,228,121,53293,411,431,69,254031,1146,749,194,187306,4470,1153,260,655,550,199,191065,322,3636,1770,1924,3110,958,222383,412,727,6359,8589,221711,229474,47,1467,3333,222619,1881,828,8722,53,1229,6959,646,5682,1561,219236,269,792,87
1990,1746680,16286,5488,923,418,364015,1846,9742,88,12607,162148,255,2399,3658,163721,166256,827,121098,3431,20383,1066,8510,2990,2327,178,202022,324,18333,262,4462,21157,95,5722,203869,103,25990,1020,1049,16601,1210,670,73,917,5823,1711,344,143957,8928,6214,4383,806
1992,4294460,230205,5335,2907,13485,470819,1507,243408,597,274716,255616,72,349,4218,23129,296493,1603,4789,245344,1735,10955,5371,291933,542956,456,32227,7330,15016,4294,973,5852,791,67316,5595,322,251166,5427,6699,493123,88,10248,51,217370,11093,7143,115,6124,213984,136,3749,253
1994,3695567,176044,141,1158,10163,588272,953,188291,49,11958,7720,846,698,6049,14781,3509,3657,280416,0,9552,718,10613,13637,247083,860,4334,1945,185492,152244,2958,142444,241,338621,171873,1743,197690,6645,263687,173936,1268,4936,177,182893,24690,1109,7596,4822,73128,281,173022,647
1996,3503129,216901,173,255772,6217,508853,1122,232200,45,3618,10827,5992,14846,254197,222761,42314,13685,254851,2774,762,1623,282095,3814,5021,861,15106,1036,425,2146,9341,17064,935,9453,5689,653,33248,3682,5607,460964,135,1414,218,1797,20210,6466,163,681,517055,64,47867,411
1998,743005,1135,108,3543,836,45461,13074,157971,79,1202,1963,192,2366,11825,17015,1598,4374,11431,191258,175,721,1325,4539,6896,1650,1048,1092,156,6346,1398,13258,3234,6265,14393,331,4383,873,10383,178981,100,962,35,1497,5595,1194,95,515,5245,69,4597,247
2000,2027382,315,29,1203,34365,228642,1173,227384,63,459672,3548,172,130,21635,8856,1162,10106,2821,218,222,2665,398,299160,335381,463,8510,3299,186,1647,1906,303417,2200,3903,2244,1238,3475,980,873,9295,139,845,39,484,4987,687,32,6513,6489,11629,12543,62
2002,972006,28208,26,7740,299,5865,173814,2204,44,43265,158888,421,278,2211,12132,4932,8177,15581,3051,6083,7089,606,1355,1461,809,741,77,120,956,617,1167,1535,183422,3059,4153,1648,2378,1405,30634,217,246,1551,3546,17910,224328,85,606,6170,300,473,148
2004,826636,494,33,895,577,6410,8046,5282,55,2178,7729,246,113,10150,291036,2248,1139,1357,115708,524,426,489,1543,2504,435,2363,95,978,569,374,1626,1537,304414,3002,266,2024,412,1830,24580,156,370,1708,1064,10148,826,43,1947,4618,565,1005,525
2006,3037124,415,289,8239,451,15680,14141,250437,224,277253,302585,217,3631,19229,9459,15604,8619,17330,1637,157,519,363,10754,5305,255,746,227,2304,28930,15222,200727,211432,269382,124320,121,466347,501,1145,500967,83,1102,62,675,5596,379,1316,13439,11788,591,20735,196215
2008,2669444,295651,3602,3133,74,396891,1373,7020,161,13152,1348,58,347636,6137,1451,1269,5187,3852,415133,998,360934,382,21145,12858,1117,15716,89,6379,4216,2869,8317,1559,35958,2540,172,312047,324,466,32181,103,7766,79,531,7315,257,15,322739,3522,566,2186,998
2010,3809300,18303,61,291019,1846,257800,6438,4575,400,6638,15203,2592,803,228273,191399,33108,509,240395,487,1415,1201,6671,20845,70524,4111,19746,130,295,268090,225306,16297,8530,622678,195440,1070,11759,656,4584,431005,2289,2180,15802,1266,113922,4411,93,238245,30463,180559,9843,49
2012,3520933,461,71,305277,791,51313,20089,14967,96,347420,2889,1083,183,564551,275902,3377,406,6005,464,490,611,390379,352713,358673,323,767,701,65544,3157,9597,2956,722,103590,343167,527,9035,638,1183,12049,828,1824,468,1052,8185,245455,38,3965,3048,1383,2500,42
2014,2029664,325,876,224797,2010,284312,3038,3694,216,264729,1855,6376,294,17377,1545,22355,677,585,546,3416,191362,1821,5003,269622,200,2357,396,7215,10929,8790,2732,592,390612,2072,300,1354,270,833,2832,391,788,92,653,118211,3238,89,1721,155943,8653,1551,45
2016,2054747,1409,332,2908,291,349377,2481,953,468,21248,1031,69,147,5568,1188,3939,919,427,1853,1327,895,489,2736,722946,253,694,379,288369,316464,51791,6810,398,10620,3125,43,1385,355,1457,5095,203,893,122,497,233100,771,16,4499,3137,446,771,77
2018,4222155,798,2577,4810,2830,155920,2882,1132,109,55099,598918,63,289,279367,2654,28740,266079,9378,294,281502,682,584,17150,303269,301,7565,3658,35672,2785,1709,313899,31971,343337,291402,145,13114,239466,1377,36470,208,288900,177,587,265461,269702,50,46649,8900,1346,2123,81
