year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6027082,487,168,275,84,20761,502,2642,2368,17,3027,68,11442,183,17731,1339,62534,1297,1472,2430,482968,2318,344,2437,499,20668,4512,1301,164,3550,595,14977,13792,802,671,2166,4110456,54918,1029876,9700,605,504,58182,518,6846,92,552,40519,5333,302,27900,211
1980,5232521,40522,86,64,837582,248,105,632,11732,19,225,361,18715,38,1109,208,438,105,36623,2594,6603,7541,2524090,1780,4988,41019,1720,120,47,53,70,404,199,21,13871,45,779,104,731,1154,713,47743,86,1617616,413,26,1744,488,403,3673,2827,67
1984,2115207,169,49,63,138,274,101,136,205,13,83,184,568,36,503,126,1500,60,176,147,154,2958,9776,215,2084449,131,173,151,43,70,50,199,163,461,119,81,217,49,532,1454,5914,101,112,286,108,34,271,110,399,746,1135,38
1988,124542,213,130,144,341,5881,1252,2555,480,15,140,177,785,118,18403,172,739,455,513,751,570,7902,1150,1302,1454,184,4915,2296,202,161,94,388,3194,459,279,493,654,263,3247,14341,596,121,1825,274,546,62,5695,189,28705,3213,6380,148
1992,439156,1451,699,14584,211,340,3114,1292,901,14,17738,157946,420,311,330,1471,1844,2019,5677,2845,844,349,208,1046,361,928,516,8807,198,7769,37950,10678,832,47,110476,454,16240,823,529,766,191,3406,4206,3445,5373,194,325,3079,435,352,3557,1590
1996,707425,1428,223,12441,259,382,34278,212,265,13,2086,45040,105,203,284,2295,596,223,75121,509,152,283,58,453,250,2920,1923,7269,209,464279,602,203,1264,132,3135,1419,1423,1214,1163,786,63,1961,5855,10959,2645,154,120,18894,490,283,566,359
2000,12163071,377,67,1841,2637,476,1196,266,452,14,5963110,518,194,47,574,287,1353022,170,307,1087,2293,269,82,2675,12324,261,6312,105,103,6009,49967,286,598605,1314,448,104,6567,162,1533950,4157,78,330,156,4745,160,48,622,1266,2100,2304,2598607,39
2004,4198877,119,109,721,682,699,3463,703,1150,11,2473,269,938,48,594,172,306592,105,200,351,866,492,99,6986,6426,238,1351,161,73,10633,36840,1729,756304,20703,476,99,17761,77,4191,12556,142,220,168,340,165,33,169,1043,1593,507,2997007,51
2008,15084476,162,151,946,216,120,941,149,113,10,10324,2495,43,109,126,78487,875,309,321,195,284,116,111,283,646,407,2925205,14620,380,471,795,314,312,7722019,4310851,864,3282,75,274,653,93,1170,1006,343,464,105,49,2053,290,428,377,69
2012,155294,141,329,794,141,119,2619,240,203,10,97668,1309,36,68,228,621,2228,163,161,235,317,107,143,811,1380,672,880,446,163,1830,2241,198,710,1067,17096,189,7735,74,489,2354,100,718,246,192,324,32,59,5374,327,110,1573,47
2016,5954996,113,335,5630,95,92,2651,407,555,11,52105,2885,64,64,219,191,756,155,82,163,8544,811,107,4799284,26868,230,209,189,103,14570,744296,334,843,441,4659,53,1012,53,475,146288,288,332,84,99,867,188,96,2300,279,39,134475,31
