year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,125617,377,104,128,60,16002,348,1525,2393,12,1483,37,7837,82,11168,792,43549,899,1070,1329,0,1255,241,1634,300,14721,4190,1267,84,2235,355,9386,5788,0,333,1002,0,41246,0,4820,689,284,92326,243,3176,41,229,28233,2850,176,16012,177
1980,57471,35348,84,39,0,238,61,450,5232,13,141,226,12416,20,833,137,274,93,28038,1515,4136,5726,0,1817,2467,21991,1087,103,30,22,40,365,173,11,13095,21,351,90,421,1178,569,36101,43,0,293,15,1068,337,308,1292,1414,34
1984,9775,113,27,39,77,257,78,75,133,9,58,119,400,17,364,82,1085,46,93,64,67,1709,8261,173,0,76,84,115,24,35,25,133,103,0,88,41,171,31,307,867,3065,104,80,193,51,18,185,63,249,450,506,28
1988,34541,118,108,106,340,3645,744,1673,261,11,79,100,688,59,8958,106,474,263,344,309,304,7475,528,954,1104,139,3855,1661,122,88,69,224,1778,0,197,314,606,172,2434,7271,449,89,1773,147,318,38,4219,166,33174,2014,3135,117
1992,92423,794,379,8497,169,324,1790,1350,581,7,9216,68976,400,242,236,977,1336,1602,5612,3760,494,269,140,493,291,531,605,6659,126,4885,15473,8246,764,0,60329,248,15677,579,457,516,108,3608,2402,2203,2741,169,153,2345,250,251,2669,978
1996,56788,1343,132,7797,155,310,13915,106,236,7,1461,25622,58,123,171,874,598,119,44394,386,66,136,31,253,220,2168,821,3968,126,0,395,167,1020,0,2623,1144,1398,891,729,664,38,1351,3996,6384,1957,98,65,13200,345,262,509,289
2000,34835,249,48,1099,1064,324,901,163,357,8,0,482,202,26,315,172,0,194,187,747,1522,133,61,2303,7701,206,4442,55,72,3866,33617,307,0,0,321,42,4118,103,0,2603,50,172,82,2201,103,34,417,1049,1234,1532,0,25
2004,516264,49,51,423,501,400,2679,566,862,8,1893,218,640,34,630,93,510432,59,151,165,418,469,68,5024,4519,133,1039,113,37,7324,26407,1392,0,0,266,59,10551,61,3055,8873,113,254,105,230,160,39,164,816,1162,315,0,34
2008,47691,113,79,542,101,81,667,91,78,6,6193,2237,25,93,81,47087,520,176,229,116,198,72,67,138,396,398,0,8197,172,499,629,222,225,0,0,623,1604,54,121,415,76,589,832,144,414,53,28,882,134,209,203,54
2012,59732,123,206,735,95,105,1287,195,129,5,57688,599,22,35,165,596,1422,111,103,263,190,71,78,547,927,472,485,317,107,949,1934,114,422,0,17301,99,3932,36,307,1587,73,436,116,119,179,24,37,2533,331,53,827,16
2016,102861,46,180,3327,78,54,1555,259,264,6,44918,2604,43,31,228,153,646,93,64,143,5344,0,83,0,22638,150,152,98,86,10819,0,223,719,0,3475,30,761,31,374,74132,238,210,41,58,742,104,52,1285,223,26,56739,23
