year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6466314,930,303,567,176,49681,1208,6083,5562,33,5770,137,25192,301,41410,2783,156735,2791,3110,4770,482968,4432,637,5519,952,44828,12222,2901,366,8268,1259,34437,26645,2634,1328,4542,4110456,109453,1029876,22622,1271,950,74589,952,16142,185,1045,89241,10419,623,56589,421
1980,5541871,92928,161,133,837582,509,240,1522,27670,33,526,715,39673,81,2370,450,907,241,83256,5334,12761,17076,2524090,3549,9366,91054,3363,239,92,107,156,818,447,51,35042,98,1340,235,1519,2973,1262,103095,175,1617616,817,51,3827,937,928,7650,6687,119
1984,2148376,322,111,136,322,608,196,335,410,27,169,388,1266,70,976,276,2969,139,379,313,330,5399,20983,446,2084449,267,402,320,87,132,110,366,381,1474,279,162,457,108,1096,3002,12249,201,228,610,211,60,546,250,878,1471,1925,85
1988,269567,430,282,353,798,12681,2655,6205,1051,27,320,390,1782,231,37404,395,1550,915,1196,1538,1233,19198,2610,2599,3278,367,10283,4656,364,349,231,864,6570,1468,611,945,1372,580,7347,30167,1185,279,4033,604,1018,133,13049,380,63630,7258,12391,312
1992,1006195,3158,1350,32166,456,710,6845,3075,1913,20,35727,404612,1063,614,663,3484,3638,4484,13628,6646,1623,690,358,2390,903,1856,1231,18903,415,17029,84133,24261,1852,131,225975,855,38156,1680,1232,1628,375,8197,10274,6762,10472,443,504,7317,934,802,6716,3846
1996,1010415,3140,441,30064,511,874,78632,430,617,20,4542,110161,221,404,481,4645,1373,440,161039,1028,304,587,126,839,535,5802,3654,16814,408,464279,1452,454,2767,401,6881,3064,3571,2376,2148,1716,124,4495,12214,26389,6234,318,273,39402,900,659,1331,835
2000,12286360,716,141,3957,5360,1113,2177,501,924,20,5963110,1158,448,93,1096,648,1353022,354,695,2700,5814,590,200,6042,26451,557,14306,233,182,12424,96650,623,598605,4404,982,195,12538,333,1533950,9124,174,623,305,10778,345,87,1508,2449,4972,3985,2598607,91
2004,4450649,243,237,1475,1693,1625,7392,1490,2806,19,6469,585,2119,106,1512,375,363921,245,406,765,1979,954,251,13857,13356,451,3134,374,142,23946,86654,3625,756304,72319,1049,210,36654,164,9328,25994,366,550,343,792,308,71,389,2405,3118,976,2997007,96
2008,15211545,343,338,2220,399,271,2002,317,253,15,20440,5964,73,241,250,151835,1763,713,607,458,530,243,237,589,1522,930,2925205,30889,716,1021,1743,662,701,7722019,4310851,2145,7623,161,589,1510,202,2000,2258,706,1167,194,112,4075,539,928,828,148
2012,338825,324,793,1950,280,293,5542,533,460,16,210899,2639,83,151,561,1536,4753,334,308,537,687,229,296,1789,2693,1221,1819,845,332,3587,5172,510,1516,3544,38728,408,18134,139,1074,5542,207,1465,486,382,642,64,121,10728,716,218,3449,90
2016,6391673,201,657,12199,207,163,6209,834,1188,12,110260,5985,144,134,527,415,1711,352,170,403,17851,2624,202,4799284,64700,499,442,353,235,26149,744296,791,2136,1404,11748,109,2351,111,1204,300703,630,763,167,226,1923,358,203,5431,587,84,262273,65
