year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,27292,0,0,513,0,5358,0,219,402,90,0,329,0,0,168,0,0,0,0,144,184,36,1888,31,0,286,75,1770,58,0,117,299,453,0,91,6425,0,0,1890,243,0,0,2011,280,367,2636,161,25,0,30,713
1978,4056573,7,23,0,16,0,175,0,208,0,13,0,46,958,0,5732,440,102,0,107,0,574,3261,223,254,0,463,48,0,12294,398,1292,0,735,0,0,55,111,0,25,466,52,247,2312540,0,0,1222256,0,493351,0,101
1980,2591141,6064,993,50717,182,150,22138,330,0,5444,19712,17,439647,323,1046,941,80,67,163,0,57,0,0,0,0,3189,0,0,128,3251,0,0,30,1797665,0,37,591,879,9876,0,38,165,0,0,26,209124,0,860,0,17211,0
1982,75391,0,0,211,0,1263,0,3092,495,109,0,15,0,0,877,0,0,0,0,127,83,117,208,1635,74,20722,352,39,10347,0,5821,1052,10,0,70,244,0,0,147,10439,0,0,106,181,209,6316,10552,29,43,68,338
1984,1326754,86,33,0,277,0,67,0,146,0,17,0,28,16991,0,427,20,1292407,0,28,0,585,2792,212,126,0,223,3899,0,189,70,33,0,4015,0,0,22,55,0,29,48,25,78,206,0,0,38,0,3563,0,19
1986,1614480,1211897,598,138,100,28976,24469,67,0,667,17814,28,6183,60,123,58,37,26,1884,0,132,0,0,0,0,2151,0,0,1888,62,0,0,1071,0,289013,97,550,82,325,0,80,5830,0,0,28,71,0,15112,0,4863,0
1988,405404,0,0,240,0,751,0,112300,104,83213,0,20,0,0,45,0,0,0,0,16,109,62,123,250,979,46,4299,261,3422,0,846,86,40,0,142,308,0,0,51,711,0,0,65,163,48,41,34,12684,70,2911,180964
1990,25345,134,51,0,5,0,296,0,82,0,0,0,117,66,0,729,28,3133,0,118,0,312,224,8485,0,0,38,185,0,51,6342,29,0,2293,0,0,13,1066,0,107,57,1090,42,113,0,0,15,0,46,0,78
1992,1575832,59,256,90,144,2269,687,1500661,0,65,35738,56,352,554,213,34,56,82,0,0,33,0,0,0,0,1197,0,0,466,7048,0,0,2819,3567,145,743,140,1859,7437,0,5963,56,0,0,233,499,0,939,0,1372,0
1994,46653,0,0,279,0,15131,0,423,331,36,0,26,0,0,43,0,0,0,0,103,182,203,680,2277,42,99,97,626,560,0,5446,941,203,0,237,277,0,0,9368,71,0,0,291,116,37,573,7115,453,42,192,153
1996,1772526,1202,13,0,2055,0,1813,0,124,0,32706,0,199,244,0,2274,76,372,1700102,1980,0,1041,174,672,31,0,2387,273,0,6234,558,46,0,1305,0,0,210,3781,0,73,663,8571,98,504,0,0,2313,0,21,0,411
1998,1619059,86,19,34,354,571,78,56,0,96,1121,15,34,6952,71,41,51,1145414,55,0,35,0,0,0,0,729,0,0,435864,37,0,0,8815,3433,75,360,49,77,82,0,1194,89,0,0,61,23,0,213,0,12875,0
2000,2532622,0,0,11,0,151,0,69,425,2476,0,25,0,0,49,0,0,0,0,42,86,16,22393,1798,50,13782,5327,12546,240,0,6401,109,374,0,115,99,0,0,1231,237,0,0,54,54,51,33,2861,2461379,18,98,22
2002,362554,169,12,0,988,0,2383,0,195,0,1265,0,56,119,0,543,10,69,251,211,0,18,114,12064,13,0,59,14,0,2985,594,67,0,797,0,0,128,208,0,19,566,337501,599,412,0,0,10,0,87,0,28
2004,489212,49,6133,20,428,144,2577,50,0,47318,183,20,6,31,101,33,34,34719,104,0,61,0,0,0,0,335,0,0,87,58,0,0,35,2822,45,79,425,57,502,0,641,391188,0,0,37,27,0,391,0,472,0
2006,2801783,0,0,600,0,95,0,539,36,119,0,98,0,0,11,0,0,0,0,20,589,42,241,143,73,11267,406505,78,280,0,231,36,12,0,38,394,0,0,200,1211,0,0,7974,90,58,54,2370445,204,20,42,38
2008,3219293,84,317723,0,18,0,538,0,69,0,271,0,99,37,0,93,105,1703,1438,116,0,49,70,2887646,116,0,29,193,0,1444,296,117,0,809,0,0,187,5039,0,28,257,97,51,407,0,0,60,0,81,0,23
2010,49514,65,2795,96,129,565,21349,16,0,129,158,20,27,0,268,61,31,456,160,0,85,0,0,0,0,308,0,0,1725,108,0,0,11,424,20,190,29,180,14729,0,48,0,0,0,68,52,0,2680,0,2532,0
2012,384657,0,0,6240,0,96,0,17,40,346,0,96,0,0,1702,0,0,0,0,106,58,1060,135,47,213,228,4051,247,40320,0,156,1757,14,0,321144,1587,0,0,712,67,0,0,48,232,46,27,1715,137,100,1893,20
2014,154881,6,12391,0,199,0,14969,0,319,0,996,0,64,491,0,826,508,244,3025,44,0,111,326,549,122,0,186,53,0,5674,322,484,0,23519,0,0,37,156,0,36,181,109,63,78,0,0,88698,0,76,0,19
2016,798801,77,191,337,104,112,1761,28,0,983,303,24,38,250,602,97,63,285,301,0,91,0,0,0,0,7345,0,0,9323,739140,0,0,1751,1782,15,131,30,99,28066,0,9,32,0,0,34,72,0,184,0,5141,0
2018,8238783,0,0,10635,0,864,0,17,120,8190005,0,33,0,0,1652,0,0,0,0,149,48,100,1389,199,320,1719,4614,159,2271,0,465,93,5618,0,507,1279,0,0,356,113,0,0,508,9021,56,35,230,211,5442,511,44
