year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6155590,588,193,360,112,31364,763,3841,3513,21,3644,89,15906,191,26144,1758,98946,1762,1965,3014,482968,2799,403,3486,603,28301,7718,1833,233,5221,796,21741,16823,1698,841,2868,4110456,69097,1029876,14283,804,601,47088,603,10193,118,662,56338,6578,395,35725,267
1980,5334524,58664,105,87,837582,322,153,963,17469,22,333,453,25045,53,1498,285,574,154,52559,3369,8057,10782,2524090,2242,5914,57483,2125,153,58,69,100,519,285,37,22122,65,849,150,961,1880,797,65083,113,1617616,519,33,2419,594,587,4832,4223,77
1984,2124908,204,72,87,205,385,124,212,260,18,108,247,801,46,617,176,1876,87,240,199,210,3409,13246,283,2084449,171,255,203,57,84,70,233,241,972,177,104,289,70,694,1896,7734,129,144,387,135,39,346,159,556,929,1217,56
1988,170250,273,180,225,505,8008,1678,3917,665,20,205,248,1127,148,23612,251,980,579,757,972,780,12120,1649,1642,2070,234,6492,2940,231,221,147,546,4148,927,388,598,867,368,4640,19045,750,178,2549,383,644,85,8241,241,40169,4584,7824,199
1992,635286,1994,855,20306,290,451,4324,1943,1209,14,22557,255424,672,389,420,2200,2297,2832,8605,4197,1026,437,228,1509,573,1173,779,11935,264,10752,53112,15319,1171,92,142655,542,24089,1063,779,1029,238,5177,6488,4271,6613,281,319,4620,592,508,4241,2432
1996,809130,1984,280,18980,325,553,49640,272,392,14,2869,69544,142,257,304,2934,870,280,101662,650,192,371,81,533,340,3666,2308,10616,259,464279,917,287,1749,257,4347,1936,2256,1501,1359,1084,80,2838,7712,16661,3936,201,175,24877,571,416,843,530
2000,12198301,453,92,2500,3386,703,1376,318,586,14,5963110,732,286,62,694,411,1353022,225,441,1706,3672,374,128,3816,16699,352,9033,149,115,7845,61015,395,598605,2793,621,124,7917,212,1533950,5761,112,395,194,6805,219,57,954,1547,3141,2517,2598607,60
2004,4193624,156,151,933,1070,1027,4668,943,1773,14,4086,370,1339,68,956,237,229736,157,257,484,1251,603,159,8749,8434,286,1981,239,90,15118,54705,2291,756304,45680,663,134,23139,104,5890,16411,234,347,218,501,194,47,248,1521,1971,618,2997007,62
2008,15118167,219,215,1403,255,173,1265,203,161,11,12905,3765,47,154,161,95851,1116,452,384,292,336,155,152,373,963,589,2925205,19501,453,645,1103,421,444,7722019,4310851,1356,4814,104,374,955,128,1264,1427,448,738,124,72,2574,342,587,524,94
2012,214014,206,503,1233,177,186,3501,337,292,12,133136,1668,55,96,354,972,3002,212,195,341,435,147,188,1132,1701,773,1150,536,212,2267,3265,324,959,2276,24451,259,11449,90,680,3500,132,928,308,242,407,42,79,6774,454,140,2178,58
2016,6079077,127,416,7702,133,104,3921,528,752,11,69606,3780,93,86,334,266,1082,224,108,257,11269,1685,130,4799284,40844,318,281,225,150,16509,744296,500,1350,897,7418,70,1487,72,762,189830,398,483,108,143,1217,229,128,3429,373,53,165568,41
