year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1996,3364276,212574,109,255621,3928,501372,720,230798,33,2321,7004,3921,9901,249494,221810,24176,9016,253879,1755,558,1051,279908,2597,3008,536,11185,668,267,1392,6078,10804,617,5970,3980,420,21737,2338,3673,459610,89,982,134,1192,13358,4346,103,450,512732,42,25742,277
1998,669239,718,76,2282,518,31269,10413,157702,49,813,1318,119,1493,7320,9734,1068,2908,6801,191255,115,462,811,2724,4864,916,664,781,104,4434,888,8660,2088,4184,10584,256,2952,613,6910,176978,64,636,24,997,3665,726,62,335,3477,45,3205,159
2000,1914809,211,19,781,16250,207730,724,226910,43,458997,2371,126,79,13753,5933,726,6155,1758,131,134,1761,261,298589,314483,305,4347,2147,110,1070,1204,302168,1394,2499,1475,834,2302,617,561,5812,85,562,25,321,3038,436,20,4189,4614,8583,8127,39
2002,875878,13504,18,4978,201,3737,173480,1553,29,22079,155657,246,191,1516,7993,3069,5609,10566,1946,3798,4373,395,907,901,500,483,57,82,666,383,777,907,181504,1998,2590,1091,1458,846,21179,136,158,961,2163,11973,224239,56,388,3954,190,295,98
2004,784115,326,23,617,410,4199,5766,3555,38,1448,5113,162,76,6533,289614,1324,771,920,115350,330,283,328,1056,1549,285,1650,59,566,374,229,1030,947,302711,2005,165,1312,270,1115,16235,95,251,1072,711,6881,539,30,1265,3194,338,673,322
2006,2910985,275,211,5318,302,10132,9425,247993,169,262118,302376,163,2231,12576,6077,10192,5031,11425,995,101,345,251,7105,3240,163,519,152,1505,18081,9825,200174,211302,253645,123380,62,463603,312,697,496993,56,743,38,431,3590,269,778,8618,7864,405,13514,196215
2008,2572109,292972,2136,1932,53,388604,923,4426,112,8679,901,39,347619,4125,884,782,3276,2677,410240,674,360779,260,13792,7500,689,9744,57,4094,2593,1942,5218,966,24771,1579,105,309217,220,300,21218,68,5039,49,341,4846,161,8,320783,2431,358,1332,595
2010,3635871,13011,41,288042,1201,251494,4199,2799,238,4185,9894,1463,613,218244,190753,20194,345,239883,301,892,746,4510,13619,25371,2699,13915,81,180,268019,225093,10266,5432,615203,193555,619,7371,468,2981,428082,1627,1443,11356,789,111316,3002,54,234474,19546,180329,5906,27
2012,3359541,314,46,300219,552,33866,14543,8975,61,341779,1601,735,121,562591,275025,2262,278,4114,339,307,399,390197,350696,357465,215,519,518,23728,2036,6500,1980,449,59807,340985,334,6644,396,715,7496,512,1185,269,733,5309,245394,24,2650,1994,1078,1558,28
2014,1938097,212,551,222528,1378,250781,1987,2366,115,258738,1175,4101,184,12278,919,14351,421,360,329,2113,191091,1180,3150,268299,131,1581,256,5165,7659,5212,1901,388,388285,1325,193,893,176,553,1831,262,506,54,400,117280,2360,52,1118,154948,5931,1002,28
2016,1977259,938,254,1781,188,336726,1630,563,274,14913,670,43,95,3668,775,2505,643,267,1051,914,567,336,1782,712830,160,458,237,288348,314606,32007,4284,258,7019,2018,27,904,213,920,3355,140,593,76,333,231585,506,10,2924,2014,296,500,55
2018,4014514,468,1377,3160,1614,140902,1870,780,71,26894,598399,43,187,276772,1737,20263,265527,6008,190,281451,449,389,10775,299438,206,4109,2710,15288,1817,1136,311447,17337,317367,288237,94,8558,239272,868,23981,134,288337,98,401,246148,269537,31,30402,5884,922,1380,49
