year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3108771,698,34,193974,55,356639,245368,1264,4059,1702,5880,2374,167118,215878,218668,208609,184868,910,6168,292,4025,4072,212703,490,152,14025,665,759,13,176,13771,67,21413,10059,85,216088,11312,475,205207,110,7012,54,566,195487,542,50,150876,218375,866,4356,362
1978,1398134,1150,496,1280,9854,23958,143540,3438,206,14118,917,32,434,180296,8375,2639,3920,2987,130900,642,9620,1387,182645,2646,237,1253,600,3039,25,139,16790,96,16449,2533,44,146388,984,529,167787,2318,1960,129637,397,157917,2591,17,6743,11551,789,1639,202
1980,2314141,3828,26,350,18,170278,907,236341,102,1818,425,23,1279,229624,201465,8969,1477,410,233,64,5476,8693,227303,5829,645,1515,297,705,30,204,217879,17256,19887,29183,294,4591,146850,291489,199980,579,10847,274,272,29895,3449,12,207698,6016,2620,16693,43
1982,3055130,166615,34,167012,1195,18075,1273,186322,1617,14642,888,17,4018,212832,17976,1196,515,1172,0,10228,2477,628,6624,436757,149171,184427,766,355,553,592,3748,2803,5812,176605,31,8372,1048,11754,522748,591,3452,6167,146447,141350,1132,26,431366,838,1818,1012,33
1984,2986116,15238,327,8083,1690,4437,1415,3735,206,1697,2252,28,202443,237310,238088,206563,467,1352,0,106,8433,2024,214377,967,182975,5413,111,107,345,201,2578,199,29325,1082495,19,2623,2749,2871,274621,93,597,278,2713,21983,213851,36,5789,804,1288,789,25
1986,1409625,294,247,194,129,2726,11492,1508,56,385,1768,144,845,141514,159728,161781,161,563,8418,675,131859,312,12486,195363,5244,7193,1357,315,794,397,836,158,186105,335982,22,2429,511,1313,2416,286,8318,177,1304,4411,6661,7,1732,8077,141,751,40
1988,1806416,349,95,152,78,23874,282,269,49,252721,750,448,126,185314,3190,717,168,435,329,144,190961,229,2524,1186,1203,1921,622,222346,275,433,3876,5458,217999,224893,33,1006,2284,222525,1209,502,5877,32,839,4234,423,3424,977,218871,168,548,48
1990,1646501,9149,4079,599,276,355857,1273,6597,55,8706,160114,177,1738,2270,161643,166206,549,120953,2312,14307,692,5056,1903,1560,112,197054,211,11959,170,2621,13010,62,3638,202923,65,14194,640,712,9434,740,429,50,602,3740,1128,211,142851,5872,4481,2943,578
1992,4146644,229572,3423,1907,9232,448653,999,243163,354,270117,253559,46,226,2762,16299,284103,1037,3189,245294,1142,7796,3511,289385,542625,311,19275,4759,10293,2756,588,3849,497,43573,3670,192,247432,3614,3818,488423,56,7480,32,217077,7217,4347,73,3707,212323,97,2622,169
1994,3531068,175898,93,771,6210,556836,580,187575,30,8468,4995,579,533,3914,9715,2396,2192,280151,0,6302,504,6894,8725,239175,577,2901,1315,185425,152214,1977,142040,152,335666,166199,1099,191925,4510,260582,165958,919,3588,107,181924,16709,727,5307,3116,31116,196,171885,398
