year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,8776513,801,115,193979,95,373265,244531,2857,4996,12,3003,4566,9174,167042,226972,218975,251799,19117,1579,6089,483306,4488,3344,210862,674,12741,14443,1390,2053,2384,492,20377,7787,17601,8106,1415,4326808,39513,1030245,209431,631,5661,21045,2254,199639,754,2363,175428,221213,843,19306,949
1978,3242394,891,401,982,7587,18433,143191,2646,318,0,10858,717,25,370,180581,6439,6436,3351,2382,130900,574,7395,1510,181182,2209,378,966,816,2372,19,9559,13216,1065,12647,2517,34,145344,804,492,165693,1801,1867,129582,498,309558,1994,15,1227444,8884,493957,1261,233
1980,8153629,33770,832,39293,837736,166653,17787,236243,7869,11,5731,15683,11204,440658,230244,201459,7880,1269,23805,1811,3643,9066,2530774,226579,7123,26130,4567,298,569,155,2705,216945,13394,15333,168693,256,3942,13052,292423,202537,804,37394,390,1617828,23216,2685,210212,205238,5545,4174,27952,69
1982,2738043,166288,26,167129,918,14890,982,187574,1623,0,11338,687,27,3089,209894,14493,920,396,902,0,7963,1973,574,5256,238798,12764,199549,860,303,8381,454,7359,2964,4485,175325,78,6628,809,9037,522032,8476,2656,4740,146476,141004,1031,4876,438805,665,1429,830,287
1984,6015229,11873,311,6254,1606,3594,1200,2968,389,9,1354,1858,379,202477,249597,237247,207615,420,1293557,90,197,8006,7922,215562,2085363,15148,4277,350,3111,306,333,2147,289,22991,901382,62,2153,2168,2564,269431,3545,558,301,2323,17119,213857,184,4554,873,4145,1151,59
1986,2814458,1212124,650,256,181,24384,27643,1216,43,0,808,15056,132,5401,139015,158156,13639,153,457,7920,520,131467,241,9602,193954,4032,7187,1043,245,2062,355,643,122,182753,333497,289031,1950,819,1074,2110,220,6455,4617,1006,3397,5144,62,1336,17824,108,4318,30
1988,2213472,393,156,406,289,22508,967,88272,414,10,316244,691,864,166,194970,2602,992,390,676,688,473,196394,965,2779,2035,1787,4412,5096,222637,2945,400,3878,6116,216144,222858,403,1404,1922,224561,9476,1270,4599,1162,869,3685,403,6340,891,246388,2234,6155,181093
1990,1625753,7140,3175,460,217,351952,1209,5074,107,0,6690,159293,139,1429,1804,160952,166745,444,123305,1777,11087,533,4126,1638,7724,85,195095,193,9337,128,2053,14878,72,2807,204314,51,10920,504,1367,7261,652,379,876,496,2965,866,163,142506,4514,3483,2264,504
1992,5298657,20337,3209,10600,7339,441037,3228,1519947,813,9,278193,394187,379,621,2746,13675,281405,2106,6355,247140,1341,6216,2807,288978,542725,765,16086,8983,8033,7275,29561,9797,906,35725,69187,504,257491,3363,4714,492771,152,12641,2963,218855,8508,3652,584,4915,19348,301,4967,1217
1994,3123028,175855,71,807,4776,453593,449,187552,278,0,6542,3845,466,410,3015,7501,1843,1686,280061,0,4921,529,5463,7242,238286,479,2307,1088,185880,152633,1519,146067,840,219916,163462,1027,22824,3463,259060,169683,760,2761,82,181637,12938,589,4521,7867,24264,181,171564,425
1996,5027486,22646,223,264011,4745,236785,24082,230221,297,9,3076,61540,3079,7879,247771,19152,20720,7118,299059,1701744,2042,976,279931,2371,2987,2073,9634,7083,533,465349,9875,8866,1293,4729,6008,1188,17719,2631,6337,459469,162,2536,10132,8426,12420,3433,159,13222,510574,238,20166,767
1998,2245518,620,73,1778,671,24491,8066,157620,38,0,703,1880,106,1176,10980,7533,858,2277,1150644,191296,92,384,629,2107,3741,704,1073,600,79,439272,711,6661,1605,10014,10776,256,2552,509,5375,176139,50,1404,87,767,2831,606,67,262,2838,33,12361,123
2000,16278969,368,55,1729,14002,201793,1173,226877,624,9,6194999,2150,244,92,10891,4787,1353579,4834,1553,867,1773,1592,277,317259,317395,429,17969,5812,9780,4509,28139,306750,599764,3471,1420,788,5392,570,1534383,7981,301,613,109,3327,2478,402,468,6118,2466330,7734,2604937,73
2002,1197813,10514,22,3826,915,2884,175173,1196,174,0,16978,155152,190,188,1263,6150,2777,4319,8177,1690,3083,3366,325,786,9969,394,374,89,75,511,2589,1058,753,180830,2149,1991,842,1222,810,16289,119,561,338239,2129,9525,224209,44,311,3039,215,231,98
2004,5181509,360,4803,910,1126,3810,8494,3195,824,9,39314,4242,738,95,5482,289315,103500,689,27510,115489,813,534,325,4721,4960,353,2416,152,478,7095,24618,1817,757033,322431,4012,223,11395,581,3533,20186,180,848,392110,773,5389,467,157,1656,3641,540,2997890,277
2006,5654912,213,163,4549,234,7877,7244,247118,158,0,256693,302293,201,1716,9670,4683,7834,3870,8786,765,92,722,229,5650,2605,183,9067,406621,1219,14110,7553,200094,211289,247565,122951,79,462760,238,533,495248,974,572,29,6462,2836,252,641,2377076,6205,326,10420,196244
2008,20682257,291845,319463,2111,170,384344,1691,3498,213,7,12440,2583,53,347759,3275,43427,1173,2803,3543,316561,758,360785,307,10817,2893847,883,2932698,8764,3497,2283,3099,4431,1032,7741067,4312689,686,310129,361,4270,16737,133,4634,751,503,4380,181,39,321125,2028,603,1262,519
2010,2923012,10053,2182,24099,1026,249407,19639,2163,183,0,3321,7727,1143,492,214592,190693,15565,293,240083,354,686,647,3473,10474,19504,2076,10933,63,139,269311,17955,7894,4175,611733,193007,491,5818,382,2432,217840,1251,1146,8728,612,110222,2362,81,232739,17087,180226,6488,22
2012,3520076,338,261,303729,508,26205,12747,7066,212,7,398859,1975,668,138,561890,24589,3078,310,3251,413,511,426,391022,350463,357730,675,1095,3753,18526,33570,6454,1794,2127,47011,350913,321518,11435,348,854,7873,507,1328,346,711,4450,245426,75,6379,1845,972,3629,66
2014,1843116,172,9949,221795,1218,235238,13037,1816,333,0,256675,1669,3151,191,9818,712,11667,714,466,2580,1657,190966,995,2679,268209,195,1217,341,4011,5887,8368,1710,672,213925,19101,149,695,163,546,1413,229,528,128,362,116931,1815,39,69039,154519,4618,773,35
2016,8511107,843,531,5067,288,330719,4358,692,548,6,43267,2434,94,144,3165,1179,2489,648,474,1155,5732,1279,321,4800659,726423,268,6126,284,288407,328297,1508036,3519,802,7190,6236,68,1461,219,1130,108812,289,681,133,327,231530,518,125,3781,1861,253,78176,63
2018,12169460,364,1059,10607,1242,135267,1442,614,150,0,8210682,598192,59,145,275433,2609,15578,265335,4621,146,281547,384,378,9355,297796,408,4486,5630,11875,3144,873,310750,13397,314243,286966,464,7566,239199,668,18715,191,288132,76,701,244745,269518,52,23550,4686,4890,1459,71
