year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,74305,0,0,1393,0,14625,0,590,1088,238,0,894,0,0,451,0,0,0,0,387,493,93,5150,77,0,774,200,4824,150,0,312,811,1229,0,243,17532,0,0,5155,657,0,0,5487,760,995,7192,430,63,0,73,1939
1978,4105555,14,56,0,35,0,473,0,559,0,31,0,115,2606,0,15643,1195,269,0,284,0,1564,8896,600,683,0,1258,125,0,33559,1077,3520,0,2004,0,0,146,295,0,60,1264,139,668,2312540,0,0,1222256,0,493351,0,270
1980,2841300,16552,2707,138458,488,402,60437,896,0,14854,53813,39,439647,878,2848,2561,210,174,437,0,150,0,0,0,0,8699,0,0,341,8867,0,0,74,1797665,0,91,1608,2394,26958,0,94,447,0,0,65,209124,0,2342,0,46980,0
1982,205631,0,0,572,0,3444,0,8437,1346,292,0,33,0,0,2385,0,0,0,0,342,221,314,561,4458,197,56565,955,104,28247,0,15889,2866,16,0,185,660,0,0,395,28495,0,0,282,490,565,17240,28800,72,108,177,918
1984,1385979,227,84,0,752,0,180,0,395,0,40,0,71,46382,0,1161,47,1292407,0,68,0,1590,7616,570,335,0,604,10639,0,511,183,80,0,10953,0,0,53,144,0,74,127,63,209,554,0,0,96,0,9719,0,45
1986,1810769,1211897,1624,368,266,79104,66798,176,0,1815,48629,68,16875,159,328,149,98,63,5137,0,353,0,0,0,0,5865,0,0,5146,161,0,0,2915,0,289013,260,1499,218,877,0,209,15912,0,0,73,189,0,41253,0,13272,0
1988,793515,0,0,647,0,2045,0,306592,277,227180,0,47,0,0,118,0,0,0,0,37,288,163,330,677,2669,122,11732,705,9336,0,2302,227,106,0,382,835,0,0,134,1935,0,0,169,436,125,105,85,34625,182,7938,180964
1990,69020,362,135,0,6,0,804,0,219,0,0,0,315,175,0,1987,68,8548,0,312,0,844,606,23159,0,0,100,499,0,132,17309,72,0,6258,0,0,32,2905,0,288,151,2971,105,302,0,0,35,0,117,0,204
1992,1705682,154,692,236,389,6185,1873,1500661,0,167,97562,144,956,1506,574,82,147,216,0,0,86,0,0,0,0,3262,0,0,1265,19239,0,0,7689,9733,391,2020,376,5067,20301,0,16274,147,0,0,629,1357,0,2560,0,3742,0
1994,127161,0,0,755,0,41303,0,1151,899,92,0,63,0,0,112,0,0,0,0,273,491,551,1852,6209,111,265,261,1702,1519,0,14860,2564,548,0,637,746,0,0,25567,188,0,0,788,314,91,1559,19419,1233,107,517,414
1996,1897636,3274,30,0,5603,0,4944,0,328,0,89285,0,536,662,0,6204,203,1007,1700102,5401,0,2833,466,1830,81,0,6508,740,0,17009,1515,121,0,3558,0,0,568,10319,0,194,1806,23397,262,1370,0,0,6311,0,52,0,1117
1998,1684187,227,45,85,960,1553,208,143,0,257,3055,36,88,18977,187,107,135,1145414,144,0,91,0,0,0,0,1984,0,0,435864,94,0,0,24021,9366,201,974,124,204,217,0,3253,239,0,0,160,59,0,573,0,35142,0
2000,2655688,0,0,20,0,403,0,184,1155,6753,0,62,0,0,128,0,0,0,0,109,229,34,61129,4902,131,37620,14535,34249,650,0,17469,292,1015,0,311,266,0,0,3353,643,0,0,141,143,131,87,7806,2461379,43,263,53
2002,405682,453,24,0,2691,0,6497,0,530,0,3445,0,145,319,0,1477,20,184,661,571,0,42,307,32933,29,0,155,28,0,8145,1618,176,0,2169,0,0,342,563,0,44,1540,337501,1628,1120,0,0,22,0,232,0,71
2004,658603,129,16739,47,1164,390,7029,133,0,129179,494,47,8,82,266,86,86,94787,273,0,162,0,0,0,0,910,0,0,228,151,0,0,88,7694,116,209,1153,151,1364,0,1744,391188,0,0,94,68,0,1062,0,1282,0
2006,2844527,0,0,1630,0,254,0,1463,89,321,0,262,0,0,24,0,0,0,0,48,1602,106,650,383,189,30755,406505,206,759,0,621,91,25,0,100,1068,0,0,537,3298,0,0,21766,238,151,141,2370445,548,49,106,97
2008,3243203,222,317723,0,43,0,1463,0,184,0,733,0,265,97,0,249,278,4645,3919,312,0,130,184,2887646,308,0,72,518,0,3938,805,313,0,2204,0,0,506,13754,0,70,695,258,135,1107,0,0,159,0,212,0,56
2010,134944,171,7626,256,349,1535,58277,31,0,341,422,49,67,0,723,161,77,1237,427,0,224,0,0,0,0,833,0,0,4700,287,0,0,22,1152,51,512,74,484,40205,0,121,0,0,0,181,134,0,7308,0,6907,0
2012,494332,0,0,17029,0,255,0,34,105,936,0,256,0,0,4639,0,0,0,0,282,148,2888,360,124,574,617,11051,672,110073,0,418,4790,25,0,321144,4330,0,0,1935,178,0,0,127,628,120,67,4678,369,267,5163,50
2014,422649,10,33824,0,533,0,40863,0,862,0,2713,0,168,1331,0,2251,1383,657,8251,117,0,296,883,1492,326,0,505,140,0,15484,876,1317,0,64208,0,0,97,421,0,92,484,295,166,206,0,0,242156,0,200,0,42
2016,901752,203,515,915,277,298,4799,65,0,2675,823,58,97,675,1637,257,167,768,800,0,244,0,0,0,0,20046,0,0,25448,739140,0,0,4738,4856,36,352,75,266,76617,0,14,81,0,0,89,192,0,498,0,14031,0
2018,8322371,0,0,29030,0,2355,0,34,321,8190005,0,86,0,0,4502,0,0,0,0,396,124,267,3782,532,861,4686,12590,428,6196,0,1261,244,14758,0,1378,3485,0,0,966,301,0,0,1381,24621,146,91,622,571,14852,1388,111
