year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3263727,1609,77,197261,119,365406,252398,2981,9679,3999,13963,5652,168092,219147,222283,214207,56869,2135,14681,689,9556,9638,241652,1136,342,33424,1577,1799,25,411,32774,149,50887,23947,197,244036,26968,1109,226677,248,16692,118,1299,199110,1284,114,155010,219059,2049,10336,857
1978,1734301,2693,1180,3026,23501,56964,146424,8170,485,33642,2114,65,1023,182920,19926,6262,9338,7089,130900,1521,22918,3227,206385,6261,540,2937,1421,7236,54,323,39981,222,39028,5995,102,152545,2323,1235,180224,5519,4651,130201,900,226880,6172,38,16023,27525,1865,3851,476
1980,2566146,9099,58,815,38,193445,2145,241025,237,4259,951,45,3044,231322,207060,21370,3498,948,516,139,13019,20658,237561,13868,1508,3562,699,1659,70,477,224791,41164,47219,69579,695,10826,38871,292493,235080,1374,25848,643,600,71203,8216,24,224001,14308,6231,39786,99
1982,3027168,168549,75,167279,2832,42884,3013,193049,3850,34841,2048,30,9577,230336,42833,2817,1202,2749,0,24397,5868,1422,15698,284266,39410,189219,1815,827,1308,1398,8862,6673,13670,184251,70,19876,2466,28019,527673,1395,8203,14710,146746,144163,2684,57,435366,1949,4313,2354,76
1984,2962165,36323,773,19254,4015,10354,3336,8878,486,3982,5299,50,202497,243535,243580,207224,1088,3194,0,236,20074,4761,220829,2271,46459,12877,253,243,810,466,6079,457,69803,956873,37,6152,6534,6816,310715,212,1394,655,6409,52326,213918,83,13747,1878,3048,1828,54
1986,1499383,670,585,446,287,6265,27387,3575,128,852,4153,329,2005,156667,169683,42160,364,1295,20073,1600,134800,681,29680,203777,12494,17123,3228,734,1885,938,1921,362,210979,350853,48,5698,1194,3101,5664,670,19810,420,3055,10408,15875,11,4074,19232,320,1734,90
1988,1939620,789,220,340,175,56713,639,607,111,255840,1745,1062,292,190467,7554,1671,381,998,778,333,191260,467,5919,2783,2848,4530,1469,222434,647,1023,9177,13016,231787,238085,72,2291,5430,222738,2791,1189,13994,71,1947,9997,995,8163,2266,219766,386,1251,113
1990,1885887,21792,9730,1393,642,379011,3006,15709,125,20686,164994,411,4137,5295,165741,166305,1271,121269,5510,34124,1606,12001,4438,3673,243,208776,494,28520,389,6243,30962,139,8483,205102,150,33764,1494,1664,22422,1754,990,112,1376,8818,2675,498,144964,13969,10680,6963,1374
1992,3999560,60180,8160,4522,22008,505711,2350,57136,838,282231,257994,100,525,6485,38834,306549,2457,7578,245442,2714,18556,8320,295781,543560,708,45948,11347,24540,6567,1393,9112,1169,103787,8687,449,254900,8592,9083,499317,119,17805,72,217780,17089,10361,168,8771,56940,217,6208,400
1994,3544677,176154,214,1810,14796,519820,1360,189628,66,20105,11865,1371,1258,9234,23128,5693,5212,280670,0,15027,1157,16394,20736,254930,1359,6871,3134,185568,152274,4700,142893,345,246863,182606,2617,70088,10724,269702,186699,2179,8526,250,184958,39723,1718,12658,7362,74197,446,174644,945
1996,3148006,64642,254,256056,9344,300206,1676,234985,74,5405,16664,9344,23615,261680,55312,57659,21496,256521,4179,1317,2463,284740,6097,7133,1253,26634,1587,619,3308,14494,25708,1457,14054,9427,997,51762,5544,8731,463297,199,2302,312,2795,31787,10350,241,1006,527164,95,61366,655
1998,871771,1668,172,5402,1218,74329,24815,158427,114,1896,3107,277,3552,17361,23157,2525,6922,16196,191262,265,1064,1875,6422,11556,2160,1539,1856,226,10568,2107,20593,4969,9795,25184,606,6951,1433,16460,182293,140,1470,52,2319,8580,1714,144,733,8240,91,7592,374
2000,1949576,465,38,1824,38756,245708,1695,228283,99,269530,5608,288,183,32712,14101,1701,14665,4162,281,310,4151,575,299962,349902,695,10331,5117,243,2540,2863,305185,3312,5754,3459,1983,5399,1434,1306,13767,189,1302,56,714,7080,1020,43,9936,10959,20459,19343,88
2002,1083019,32187,35,11827,456,8633,174279,3674,63,52579,164473,578,442,3527,19029,7291,13358,25179,4601,9052,10387,889,2087,2105,1172,1103,131,180,1563,897,1780,2156,185458,4693,6172,2516,3459,1991,50430,310,351,2287,5116,28408,224423,131,854,9375,437,665,230
2004,895800,732,51,1424,963,9748,13720,8450,87,3339,12161,377,167,15494,292487,3129,1813,2164,116288,774,625,723,2436,3657,664,3891,133,1337,873,532,2378,2246,306701,4721,386,3036,613,2633,38641,216,564,2553,1646,16247,1273,65,2956,7571,793,1556,766
2006,3221519,617,499,12639,699,23911,22447,255706,400,295090,302842,380,5311,29902,14454,24293,11983,27229,2322,229,774,539,16863,7683,371,1192,355,3575,43121,23433,201643,211561,289979,125895,141,470387,713,1634,508309,122,1731,85,980,8420,622,1853,20503,18718,949,32200,196215
2008,3382013,300673,5089,4564,107,414440,2159,10536,262,20596,2081,82,347662,9738,2060,1835,7791,6360,978860,1599,361155,557,32806,17853,1621,23200,132,9750,6169,4627,12385,2290,58936,3693,246,316582,502,688,50530,146,11987,111,764,11405,363,15,325863,5763,836,3132,1412
2010,3422725,31010,91,74538,2846,266452,9978,6653,560,9845,23542,3484,1449,240057,192310,48153,807,240770,685,2116,1744,10708,32407,60495,6424,33152,186,414,268208,55469,24432,12943,635940,198730,1470,17496,1093,7086,251235,3869,3408,27092,1832,117777,7148,125,244851,46594,180945,14046,60
