year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3472099,1848,87,198079,135,367608,254148,3409,11075,4571,15976,6467,168335,219985,223191,215599,194702,2439,16801,788,10931,11025,248858,1300,395,38245,1806,2058,27,470,37504,170,58231,27401,225,250985,30858,1270,232017,284,19100,138,1483,200031,1471,131,156045,219233,2346,11838,980
1978,1818082,3082,1351,3463,26891,65195,147145,9350,555,38499,2417,72,1171,183591,22800,7167,10685,8112,130900,1742,26225,3696,212285,7169,624,3368,1626,8278,63,369,45746,254,44659,6858,117,154090,2657,1413,183339,6316,5325,130342,1027,244015,7063,43,18341,31500,2135,4407,544
1980,2765936,10415,65,933,43,199213,2453,242189,269,4873,1086,55,3484,231760,208460,24452,4001,1086,587,160,14898,23635,240119,15871,1726,4075,799,1900,79,547,226517,47097,54037,79618,796,12394,149014,292745,243805,1572,29580,736,689,81482,9402,29,228057,16371,7132,45516,114
1982,3361215,169031,87,167351,3244,49082,3442,194720,4405,39867,2344,36,10958,234700,49015,3223,1375,3148,0,27913,6716,1630,17966,447901,151386,190411,2077,945,1498,1597,10139,7635,15650,186153,80,22740,2821,32056,528910,1596,9388,16831,146826,144870,3068,65,436371,2235,4934,2693,86
1984,3312463,41562,885,22032,4594,11851,3827,10157,557,4558,6069,60,202512,245099,244947,207394,1240,3657,0,271,22975,5449,222448,2599,183915,14732,291,276,928,534,6957,524,79859,1110294,45,7048,7474,7799,319687,243,1600,749,7336,59876,213936,94,15730,2152,3489,2091,61
1986,1673097,767,668,507,329,7176,31338,4086,147,972,4751,379,2294,160445,172161,163647,417,1481,22966,1834,135529,778,33969,205868,14296,19595,3692,841,2157,1074,2200,414,217173,354552,53,6526,1369,3545,6478,769,22665,479,3495,11907,18168,12,4661,22012,368,1985,102
1988,1972979,904,251,389,200,64898,732,699,127,256620,1996,1213,334,191754,8648,1915,436,1142,891,380,191339,538,6777,3185,3257,5191,1682,222456,741,1171,10503,14893,235234,241367,84,2624,6217,222794,3199,1362,16012,81,2228,11441,1137,9342,2596,219994,443,1435,127
1990,1945603,24929,11134,1597,734,384798,3441,17975,144,23669,166210,471,4735,6063,166763,166337,1454,121350,6306,39046,1838,13733,5071,4202,282,211695,562,32634,444,7146,35427,158,9699,205652,174,38628,1711,1910,25669,2009,1133,128,1574,10098,3059,571,145493,15984,12221,7971,1571
1992,4608843,231978,9335,5178,25184,519913,2692,243915,959,285258,259112,115,603,7424,44438,312124,2809,8670,245481,3105,21236,9523,297377,543799,809,52576,12984,28078,7513,1592,10434,1337,118761,9944,514,256770,9828,10390,502046,139,20376,83,217962,19560,11857,195,10040,217016,250,7102,459
1994,3951330,176214,245,2068,16929,620229,1554,190145,77,23005,13583,1570,1439,10567,26463,6510,5967,280806,0,17194,1326,18760,23734,258846,1557,7865,3587,185607,152290,5381,143120,399,344107,186686,2996,213978,12269,271965,191865,2493,9755,289,185723,45458,1967,14484,8427,84899,513,175338,1081
