year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,5932242,343,113,210,67,18200,444,2230,2040,14,2117,53,9229,112,15171,1022,57411,1025,1142,1750,482968,1625,236,2024,351,16423,4479,1065,137,3030,464,12617,9762,1016,489,1666,4110456,40093,1029876,8289,467,351,27322,350,5915,69,384,32690,3818,230,20730,157
1980,5185462,34039,62,51,837582,190,91,561,10136,15,194,265,14533,32,871,168,335,92,30496,1955,4677,6257,2524090,1302,3432,33352,1234,90,35,41,61,302,167,22,12838,39,493,87,559,1091,463,37764,67,1617616,302,21,1404,345,342,2805,2451,45
1984,2108023,121,44,53,121,224,75,125,152,12,65,145,467,28,359,104,1091,53,140,117,123,1979,7688,165,2084449,100,150,119,34,50,43,136,141,586,104,62,169,41,403,1101,4489,77,86,225,79,25,202,95,325,541,707,33
1988,98871,159,106,132,295,4648,975,2276,387,12,120,146,656,87,13701,147,570,337,441,566,454,7034,958,954,1202,137,3768,1707,136,130,87,318,2409,561,226,348,504,214,2693,11052,435,104,1480,223,375,50,4783,141,23308,2661,4541,117
1992,368693,1158,497,11784,170,263,2510,1130,703,10,13089,148201,391,229,245,1279,1335,1646,4994,2437,599,254,135,878,334,683,454,6928,154,6242,30818,8889,682,57,82771,316,13979,619,454,598,140,3004,3765,2480,3839,166,186,2682,345,298,2462,1411
1996,664460,1153,163,11013,189,323,28804,159,228,10,1666,40351,83,150,178,1705,505,164,58987,379,115,218,49,310,198,2127,1342,6161,153,464279,535,168,1017,165,2524,1125,1311,872,789,630,49,1649,4477,9669,2285,118,104,14436,333,243,490,309
2000,12135001,264,55,1452,1965,410,800,186,340,10,5963110,426,167,37,405,240,1353022,133,257,991,2131,218,76,2216,9690,207,5242,88,68,4553,35402,232,598605,1647,363,74,4596,123,1533950,3343,66,231,115,3949,128,35,555,899,1824,1462,2598607,36
2004,4008914,91,89,543,623,598,2709,549,1031,10,2371,216,778,41,556,139,133297,92,152,282,728,352,94,5077,4895,168,1150,139,53,8773,31740,1331,756304,26563,386,80,13428,61,3419,9524,136,204,129,292,114,28,145,884,1145,360,2997007,38
2008,15051027,128,126,815,148,102,737,119,96,8,7488,2186,29,91,94,55615,649,263,225,171,196,91,88,218,560,343,2925205,11315,263,376,641,245,260,7722019,4310851,787,2794,61,219,556,76,736,830,262,429,74,43,1495,199,343,306,56
2012,124235,121,292,716,104,109,2032,198,171,8,77250,968,33,57,207,566,1742,124,114,199,253,87,111,657,988,449,668,313,124,1316,1897,188,559,1321,14187,151,6644,54,395,2032,78,539,182,142,238,25,47,3931,265,82,1266,35
2016,5854405,76,244,4471,78,62,2276,308,437,7,40388,2194,55,52,195,155,629,131,65,150,6540,1011,76,4799284,23701,185,164,131,88,9581,744296,292,785,546,4305,43,865,43,443,110143,232,282,64,84,706,133,75,1991,219,32,96067,25
