year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,2894749,537,27,193423,42,355157,244189,974,3120,1308,4525,1825,166955,215312,218061,207671,18330,702,4744,227,3096,3134,207852,380,118,10781,512,587,9,136,10590,52,16475,7730,65,211413,8698,369,201607,83,5391,43,436,194876,416,39,150179,218259,666,3349,279
1978,1341771,886,383,982,7575,18433,143056,2646,159,10858,706,25,334,179846,6439,2029,3013,2303,130900,493,7395,1067,178675,2037,184,966,461,2335,19,108,12911,73,12647,1952,34,145344,761,407,165693,1782,1509,129542,308,146391,1994,15,5188,8884,606,1261,156
1980,2119467,2944,21,272,15,166392,702,235558,78,1398,329,20,986,229326,200527,6899,1138,313,182,49,4212,6684,225578,4485,493,1168,229,541,24,159,216714,13265,15289,22435,227,3535,12530,291317,194105,445,8339,211,212,22983,2649,9,204972,4619,2018,12838,33
1982,2680083,166288,26,166966,918,13918,982,185196,1242,11253,687,15,3089,209894,13819,920,396,902,0,7864,1910,484,5096,237541,12707,183621,588,273,427,454,2885,2156,4477,175325,24,6440,809,9037,521919,453,2656,4740,146393,140864,871,20,430695,643,1396,778,26
1984,2593833,11713,251,6213,1299,3421,1090,2872,159,1304,1733,20,202433,236260,237167,206449,364,1042,0,80,6484,1561,213287,750,14974,4162,84,86,267,155,1989,154,22555,898216,14,2022,2117,2209,268584,72,462,213,2088,16899,213838,29,4453,623,991,606,19
1986,1226246,227,191,150,103,2111,8836,1163,43,294,1363,111,649,138969,158062,13595,125,436,6471,520,131364,241,9602,193954,4032,5534,1043,245,610,307,643,122,181929,333497,18,1874,396,1010,1862,220,6395,136,1006,3397,5121,6,1336,6209,108,580,30
1988,1783976,269,74,120,63,18359,217,208,37,252193,579,346,98,184437,2453,553,130,337,253,113,190905,180,1950,918,928,1478,479,222331,214,333,2983,4197,215686,222684,26,777,1756,222490,940,386,4519,25,648,3269,327,2634,756,218721,133,426,38
1990,1606257,7035,3136,460,213,351952,980,5074,43,6690,159293,139,1338,1754,160952,166183,423,120897,1777,10997,533,3886,1465,1201,85,195095,162,9194,128,2014,10003,49,2807,202550,51,10920,493,547,7261,569,334,38,465,2878,866,163,142494,4514,3447,2264,445
1992,3456804,19399,2631,1471,7098,439091,767,18419,271,268083,252807,36,174,2130,12528,280353,798,2455,245267,880,5993,2703,288304,542467,239,14817,3658,7913,2120,453,2965,383,33512,2823,148,246174,2778,2937,486593,44,5749,24,216950,5557,3347,57,2854,18361,74,2018,131
1994,3087165,175855,71,593,4776,441964,449,187226,23,6514,3845,447,410,3015,7468,1843,1686,280061,0,4843,388,5306,6717,236537,447,2230,1013,185399,152203,1519,141881,117,219760,163462,845,22612,3463,259060,162483,706,2761,82,181413,12848,561,4079,2397,23916,149,171416,306
1996,2653550,20835,84,255546,3020,236536,550,230098,26,1795,5387,3015,7612,247445,17841,18582,6933,253434,1350,430,808,279095,1999,2317,413,8603,513,205,1070,4674,8307,475,4605,3062,323,16712,1797,2823,458983,68,759,102,919,10275,3342,80,348,510319,32,19789,214
1998,635177,553,58,1751,398,24052,8005,157578,38,628,1017,94,1149,5635,7478,826,2237,5230,191254,92,357,629,2107,3741,704,513,600,79,3408,682,6661,1605,3226,8137,198,2275,473,5315,176075,50,486,18,767,2831,559,49,262,2675,33,2466,123
2000,1648121,165,14,605,12492,201361,558,226679,34,229985,1823,96,63,10580,4565,557,4733,1354,104,103,1357,208,298346,308565,233,3346,1650,84,824,926,301652,1074,1930,1141,641,1782,475,433,4465,67,436,21,249,2337,336,16,3227,3550,6596,6253,30
2002,841048,10384,12,3826,156,2884,173343,1196,23,16978,154179,190,145,1172,6150,2360,4310,8123,1499,2920,3366,312,698,696,385,374,44,65,511,293,600,700,180830,1536,1991,842,1124,650,16289,105,125,738,1668,9208,224209,44,302,3039,147,231,76
2004,765211,251,19,477,317,3236,4431,2734,31,1121,3932,125,58,5030,289131,1018,592,707,115193,253,215,252,817,1198,224,1274,45,437,286,176,795,729,302023,1546,128,1011,208,859,12481,73,197,824,548,5301,416,23,976,2461,264,520,248
2006,2858872,213,163,4088,234,7802,7244,246704,131,256600,302293,126,1716,9670,4674,7834,3870,8786,765,77,268,197,5465,2495,128,406,116,1160,13895,7553,199918,211261,247555,122951,48,462457,238,533,495094,43,572,29,333,2766,207,600,6631,6048,311,10389,196215
2008,2436639,291682,1642,1485,41,384265,709,3405,85,6683,694,30,347612,3174,679,602,2520,2060,315325,518,360713,201,10596,5770,529,7493,44,3146,1994,1495,4015,744,19048,1215,80,307981,170,230,16310,51,3873,37,263,3736,125,6,319928,1874,277,1027,457
2010,2884951,10003,32,24026,925,248972,3229,2152,183,3223,7605,1127,471,214592,190487,15518,270,239733,231,686,582,3473,10474,19504,2076,10695,63,139,267985,17872,7894,4175,611724,192681,475,5672,359,2294,206518,1251,1110,8728,612,110222,2310,42,232739,15028,180226,4541,22
2012,3054584,245,35,298382,427,26047,11185,6903,49,339218,1231,567,94,561730,22846,1739,214,3163,259,234,315,390120,349853,356933,166,403,399,18240,1568,4996,1527,348,45975,340009,257,5106,306,550,5762,393,914,207,565,4089,245370,18,2038,1535,831,1200,23
