year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,46960,0,0,881,0,9234,0,374,689,153,0,565,0,0,288,0,0,0,0,246,313,62,3252,50,0,490,128,3047,96,0,197,515,778,0,155,11068,0,0,3256,415,0,0,3465,481,630,4541,274,42,0,49,1226
1978,4077062,10,37,0,24,0,302,0,354,0,22,0,75,1647,0,9877,756,171,0,181,0,989,5618,381,433,0,796,81,0,21186,681,2224,0,1267,0,0,93,188,0,39,799,88,424,2312540,0,0,1222256,0,493351,0,172
1980,2695754,10450,1710,87407,310,257,38153,568,0,9379,33972,26,439647,555,1800,1618,134,112,276,0,97,0,0,0,0,5492,0,0,218,5599,0,0,50,1797665,0,60,1017,1512,17019,0,61,284,0,0,42,209124,0,1480,0,29660,0
1982,129857,0,0,363,0,2176,0,5327,852,186,0,23,0,0,1506,0,0,0,0,217,140,200,356,2815,125,35711,606,66,17832,0,10031,1810,13,0,118,418,0,0,250,17989,0,0,181,310,358,10885,18182,47,70,114,580
1984,1351533,145,56,0,476,0,115,0,251,0,29,0,46,29282,0,734,31,1292407,0,44,0,1006,4810,362,213,0,383,6719,0,323,118,52,0,6916,0,0,36,94,0,48,81,41,133,351,0,0,63,0,6138,0,30
1986,1696567,1211897,1027,234,170,49938,42170,114,0,1147,30699,46,10655,102,209,96,62,42,3244,0,225,0,0,0,0,3704,0,0,3250,103,0,0,1843,0,289013,166,947,140,556,0,133,10046,0,0,46,121,0,26044,0,8378,0
1988,567704,0,0,411,0,1292,0,193546,177,143415,0,29,0,0,76,0,0,0,0,25,184,104,210,429,1687,77,7407,448,5896,0,1454,144,69,0,242,530,0,0,87,1222,0,0,108,277,80,67,56,21860,117,5014,180964
1990,43619,230,86,0,5,0,509,0,139,0,0,0,200,111,0,1256,46,5397,0,199,0,535,383,14622,0,0,65,317,0,84,10929,47,0,3952,0,0,20,1836,0,184,99,1877,69,192,0,0,24,0,75,0,131
1992,1630140,100,439,152,248,3906,1183,1500661,0,108,61590,92,605,952,364,53,94,138,0,0,56,0,0,0,0,2062,0,0,801,12147,0,0,4856,6145,248,1276,239,3201,12817,0,10275,94,0,0,398,860,0,1617,0,2363,0
1994,80330,0,0,479,0,26076,0,728,569,61,0,42,0,0,72,0,0,0,0,173,310,350,1170,3921,70,169,167,1077,962,0,9383,1620,349,0,404,473,0,0,16141,120,0,0,499,200,60,986,12261,779,69,328,262
1996,1824849,2069,20,0,3538,0,3122,0,209,0,56364,0,340,418,0,3918,130,637,1700102,3411,0,1790,296,1157,51,0,4110,469,0,10738,959,79,0,2249,0,0,360,6516,0,125,1141,14771,167,867,0,0,3985,0,35,0,706
1998,1646293,146,30,56,607,981,131,93,0,163,1929,24,58,11980,120,69,86,1145414,92,0,60,0,0,0,0,1254,0,0,435864,61,0,0,15173,5913,128,616,79,129,140,0,2055,152,0,0,102,37,0,364,0,22187,0
2000,2584089,0,0,15,0,255,0,117,731,4264,0,42,0,0,83,0,0,0,0,69,146,24,38592,3096,84,23749,9178,21621,411,0,11029,186,643,0,198,169,0,0,2118,408,0,0,91,92,84,55,4929,2461379,28,168,35
2002,380601,288,19,0,1700,0,4104,0,335,0,2176,0,93,202,0,935,15,118,425,362,0,29,194,20791,19,0,99,20,0,5143,1024,112,0,1371,0,0,217,356,0,30,975,337501,1030,708,0,0,15,0,149,0,46
2004,560044,82,10570,29,736,247,4439,85,0,81549,314,32,7,52,169,55,55,59838,175,0,104,0,0,0,0,576,0,0,146,96,0,0,58,4860,75,133,729,96,862,0,1101,391188,0,0,59,44,0,671,0,812,0
2006,2819664,0,0,1030,0,161,0,925,59,204,0,167,0,0,17,0,0,0,0,32,1012,70,412,243,122,19416,406505,131,481,0,395,59,18,0,64,675,0,0,342,2085,0,0,13743,151,97,91,2370445,347,33,68,64
2008,3229301,141,317723,0,28,0,926,0,118,0,465,0,168,63,0,159,177,2934,2475,199,0,83,118,2887646,197,0,46,328,0,2488,510,200,0,1393,0,0,321,8684,0,46,440,164,87,700,0,0,102,0,135,0,37
2010,85244,110,4816,163,221,970,36790,22,0,219,269,33,45,0,458,103,50,782,271,0,143,0,0,0,0,529,0,0,2969,184,0,0,16,728,34,326,48,307,25382,0,78,0,0,0,116,86,0,4616,0,4360,0
2012,430530,0,0,10751,0,163,0,24,69,593,0,164,0,0,2931,0,0,0,0,180,94,1826,230,80,365,391,6977,425,69486,0,266,3027,19,0,321144,2734,0,0,1224,114,0,0,80,398,76,45,2954,235,171,3261,33
2014,266859,8,21356,0,338,0,25797,0,546,0,1714,0,107,841,0,1421,874,416,5211,76,0,187,560,943,208,0,320,90,0,9776,555,834,0,40535,0,0,63,266,0,59,307,187,105,133,0,0,152869,0,128,0,29
2016,841850,130,327,579,177,189,3032,43,0,1690,521,37,64,427,1035,163,106,487,509,0,155,0,0,0,0,12656,0,0,16066,739140,0,0,2999,3067,24,224,49,169,48368,0,12,51,0,0,56,123,0,315,0,8860,0
2018,8273639,0,0,18328,0,1486,0,24,205,8190005,0,55,0,0,2843,0,0,0,0,252,80,169,2391,338,547,2962,7950,272,3913,0,799,155,9331,0,873,2201,0,0,612,193,0,0,873,15544,95,59,394,362,9377,879,72
