year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,64940,0,0,1217,0,12782,0,515,951,209,0,781,0,0,396,0,0,0,0,338,431,83,4500,67,0,677,174,4217,130,0,271,709,1075,0,211,15321,0,0,4506,574,0,0,4795,666,870,6284,376,55,0,65,1694
1978,2289800,13,49,0,33,0,414,0,489,0,27,0,100,2279,0,13671,1045,236,0,248,0,1367,7774,525,597,0,1099,111,0,29330,941,3077,0,1751,0,0,127,257,0,53,1104,120,585,506534,0,0,1222256,0,493351,0,237
1980,1417278,14466,2365,121009,427,353,52819,782,0,12982,47031,34,439647,767,2489,2238,184,152,382,0,131,0,0,0,0,7603,0,0,298,7749,0,0,65,423409,0,79,1403,2093,23561,0,82,391,0,0,56,209124,0,2048,0,41059,0
1982,179713,0,0,499,0,3008,0,7375,1176,255,0,31,0,0,2085,0,0,0,0,298,193,275,490,3895,173,49437,836,90,24687,0,13886,2504,14,0,162,575,0,0,347,24903,0,0,247,428,492,15067,25171,62,96,155,801
1984,1374191,199,75,0,656,0,158,0,345,0,36,0,61,40537,0,1013,42,1292407,0,58,0,1389,6657,500,293,0,528,9298,0,447,160,70,0,9573,0,0,48,127,0,64,110,56,181,484,0,0,84,0,8495,0,40
1986,1771717,1211897,1419,322,233,69135,58380,154,0,1587,42501,60,14748,140,288,130,83,56,4489,0,309,0,0,0,0,5126,0,0,4498,140,0,0,2548,0,289013,227,1309,191,767,0,183,13906,0,0,63,164,0,36053,0,11598,0
1988,716316,0,0,566,0,1788,0,267955,242,198551,0,39,0,0,104,0,0,0,0,30,253,142,289,592,2333,105,10252,617,8160,0,2012,198,92,0,333,731,0,0,117,1690,0,0,148,381,108,91,75,30261,159,6938,180964
1990,60321,316,117,0,5,0,703,0,190,0,0,0,276,153,0,1737,60,7471,0,273,0,737,529,20240,0,0,88,436,0,116,15127,63,0,5469,0,0,27,2540,0,251,134,2596,93,263,0,0,31,0,102,0,178
1992,1679839,134,605,206,341,5406,1636,1500661,0,148,85267,124,835,1316,502,72,129,187,0,0,76,0,0,0,0,2851,0,0,1105,16815,0,0,6719,8507,340,1765,328,4429,17741,0,14223,128,0,0,548,1187,0,2237,0,3271,0
1994,111130,0,0,659,0,36097,0,1004,786,82,0,55,0,0,98,0,0,0,0,237,427,482,1620,5426,95,233,228,1489,1328,0,12988,2240,479,0,556,650,0,0,22345,164,0,0,688,275,79,1363,16971,1076,95,452,363
1996,1872732,2861,24,0,4897,0,4320,0,288,0,78031,0,469,579,0,5422,176,879,1700102,4720,0,2476,406,1599,69,0,5689,646,0,14865,1324,105,0,3110,0,0,498,9017,0,170,1578,20448,229,1198,0,0,5516,0,45,0,976
1998,1671221,198,40,75,839,1357,180,126,0,224,2671,31,78,16584,163,94,117,1145414,126,0,81,0,0,0,0,1735,0,0,435864,82,0,0,21001,8186,174,852,109,177,190,0,2842,207,0,0,140,50,0,501,0,30713,0
2000,2631198,0,0,19,0,352,0,160,1010,5902,0,54,0,0,113,0,0,0,0,95,201,30,53426,4286,114,32878,12704,29933,566,0,15268,255,885,0,272,232,0,0,2929,561,0,0,124,126,115,76,6822,2461379,36,230,45
2002,397086,395,22,0,2351,0,5678,0,463,0,3011,0,127,277,0,1290,18,160,580,499,0,34,268,28783,24,0,137,25,0,7118,1414,154,0,1898,0,0,300,492,0,38,1347,337501,1422,978,0,0,18,0,202,0,62
2004,624889,112,14630,39,1017,339,6143,115,0,112898,432,42,7,70,233,73,74,82840,238,0,141,0,0,0,0,796,0,0,199,132,0,0,77,6726,101,183,1008,131,1193,0,1524,391188,0,0,81,58,0,928,0,1121,0
2006,2836002,0,0,1424,0,221,0,1278,77,281,0,227,0,0,20,0,0,0,0,43,1400,94,568,335,165,26877,406505,180,663,0,543,79,22,0,87,934,0,0,469,2882,0,0,19025,207,131,123,2370445,478,43,91,85
2008,3238428,194,317723,0,36,0,1279,0,160,0,640,0,230,85,0,218,244,4058,3424,273,0,112,161,2887646,270,0,62,452,0,3442,703,274,0,1925,0,0,443,12020,0,60,606,225,119,968,0,0,140,0,185,0,51
2010,117932,150,6663,223,303,1341,50933,29,0,299,368,44,60,0,633,140,67,1080,373,0,196,0,0,0,0,728,0,0,4107,251,0,0,19,1005,43,447,65,422,35138,0,107,0,0,0,158,117,0,6387,0,6036,0
2012,472508,0,0,14882,0,222,0,31,93,818,0,223,0,0,4054,0,0,0,0,248,127,2525,315,109,502,540,9658,587,96200,0,365,4187,24,0,321144,3783,0,0,1692,157,0,0,110,549,104,60,4088,323,233,4512,43
2014,369385,9,29562,0,466,0,35713,0,753,0,2371,0,147,1164,0,1967,1208,575,7210,102,0,259,772,1305,285,0,442,123,0,13533,764,1151,0,56117,0,0,84,369,0,79,423,256,145,181,0,0,211638,0,175,0,37
2016,881268,176,449,800,242,261,4195,55,0,2338,721,50,87,589,1431,225,147,672,701,0,212,0,0,0,0,17520,0,0,22241,739140,0,0,4154,4244,32,308,65,232,66961,0,12,69,0,0,75,169,0,434,0,12261,0
2018,8305648,0,0,25372,0,2056,0,31,281,8190005,0,74,0,0,3935,0,0,0,0,347,110,231,3307,464,754,4095,11003,374,5414,0,1103,213,12854,0,1205,3045,0,0,844,262,0,0,1208,21517,129,81,543,499,12979,1215,98
