year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6064004,489,161,298,93,25968,632,3181,2907,19,3017,73,13169,159,21645,1457,81920,1459,1628,2494,482968,2319,335,2887,498,23431,6390,1518,192,4323,660,18001,13928,1397,696,2376,4110456,57208,1029876,11825,665,498,38984,500,8440,98,548,46644,5447,327,29578,222
1980,5273392,48570,86,70,837582,268,126,797,14464,17,276,376,20736,45,1242,235,475,127,43515,2789,6672,8927,2524090,1855,4897,47590,1759,126,49,59,83,428,235,30,18316,51,702,123,796,1556,660,53885,93,1617616,429,28,2003,492,487,4001,3495,63
1984,2117963,171,60,72,170,318,103,175,216,16,91,204,664,39,512,147,1553,72,200,165,173,2824,10968,235,2084449,140,211,168,47,70,58,194,201,804,147,87,241,58,575,1570,6403,106,120,319,111,34,286,133,461,770,1006,46
1988,140999,227,150,186,419,6630,1390,3244,551,16,170,205,933,122,19551,208,811,479,627,806,647,10035,1365,1360,1714,195,5377,2436,192,184,123,454,3435,792,321,495,720,304,3842,15768,619,148,2109,316,532,71,6822,201,33258,3794,6479,166
1992,525986,1652,706,16814,241,373,3580,1608,1002,13,18674,211474,556,324,349,1822,1903,2346,7123,3476,852,361,189,1251,474,972,645,9882,218,8903,43974,12683,969,69,118108,448,19945,881,646,852,198,4285,5373,3536,5473,234,264,3827,491,422,3512,2013
1996,749800,1642,231,15715,270,457,41099,227,325,13,2375,57578,117,211,252,2430,719,232,84170,538,161,307,67,441,281,3034,1912,8790,215,464279,760,238,1448,216,3599,1603,1867,1244,1123,897,66,2351,6385,13795,3260,167,144,20595,473,345,697,439
2000,12172334,376,75,2069,2804,582,1139,263,485,11,5963110,607,236,51,575,339,1353022,187,365,1413,3042,310,106,3159,13826,291,7478,122,97,6496,50517,328,598605,2328,514,103,6556,175,1533950,4769,92,327,161,5635,181,47,790,1280,2601,2084,2598607,48
2004,4117896,127,126,773,886,852,3864,781,1468,11,3383,306,1110,56,792,196,190207,130,213,400,1036,500,133,7245,6982,237,1639,197,76,12517,45292,1896,756304,37847,550,110,19159,87,4878,13587,193,288,181,415,161,39,205,1260,1631,511,2997007,52
2008,15090622,180,177,1162,211,144,1049,167,134,9,10685,3118,39,128,132,79358,924,375,319,241,278,129,125,309,796,486,2925205,16145,376,534,913,348,368,7722019,4310851,1121,3987,85,310,790,109,1046,1182,370,610,103,60,2131,284,487,434,79
2012,177178,170,416,1020,147,155,2897,280,241,10,110228,1381,44,81,294,804,2484,177,162,283,360,122,156,936,1408,639,953,445,174,1876,2705,268,794,1877,20244,214,9478,74,562,2900,111,767,256,201,336,34,64,5608,375,115,1805,47
2016,5986941,105,344,6378,110,87,3246,438,623,10,57629,3129,77,72,276,219,895,186,90,213,9332,1397,107,4799284,33817,262,232,187,124,13669,744296,416,1118,741,6141,59,1230,59,631,157165,331,400,89,120,1006,188,106,2839,309,44,137080,35
