year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6360113,813,266,497,154,43421,1056,5315,4862,28,5044,121,22018,262,36192,2431,136983,2437,2718,4170,482968,3874,558,4824,831,39178,10681,2536,321,7226,1101,30099,23287,2333,1159,3969,4110456,95660,1029876,19772,1111,830,65189,832,14108,163,914,77995,9107,543,49456,368
1980,5470960,81217,143,115,837582,445,209,1331,24182,28,460,625,34672,74,2072,393,791,210,72763,4661,11153,14924,2524090,3101,8184,79579,2940,209,78,94,136,714,391,43,30626,84,1170,205,1328,2598,1102,90102,154,1617616,714,43,3347,819,811,6687,5843,102
1984,2140294,280,99,119,282,531,172,293,357,23,148,339,1105,61,852,243,2595,120,330,272,289,4719,18338,391,2084449,232,351,278,77,116,96,320,332,1273,242,142,400,93,958,2622,10705,177,198,532,183,53,478,219,768,1284,1683,75
1988,235595,375,248,309,697,11084,2321,5422,918,23,280,341,1559,201,32689,345,1355,798,1044,1344,1077,16778,2281,2271,2864,321,8986,4070,318,304,203,754,5742,1294,534,825,1198,506,6421,26364,1034,244,3525,527,890,115,11406,332,55612,6343,10830,273
1992,879374,2759,1179,28111,399,621,5984,2686,1671,18,31226,353620,929,536,578,3044,3180,3920,11910,5807,1418,601,313,2088,790,1621,1076,16521,361,14884,73527,21205,1618,109,197497,749,33348,1469,1076,1422,329,7163,8981,5910,9152,388,437,6394,818,701,5868,3362
1996,941575,2744,385,26276,446,764,68722,375,538,17,3970,96277,194,352,421,4059,1201,384,140745,899,264,512,109,733,469,5071,3195,14697,356,464279,1268,398,2419,340,6015,2678,3121,2075,1876,1498,110,3928,10675,23063,5448,278,237,34436,788,575,1164,731
2000,12256221,625,123,3459,4684,972,1903,438,808,18,5963110,1012,391,81,959,567,1353022,310,606,2359,5081,516,174,5280,23116,486,12502,203,157,10858,84471,544,598605,3849,859,171,10959,289,1533950,7974,151,545,265,9419,302,77,1318,2139,4346,3483,2598607,78
2004,4362729,213,208,1290,1479,1421,6459,1303,2453,17,5652,511,1852,92,1323,326,318058,214,354,667,1729,833,219,12110,11673,394,2740,327,122,20929,75734,3168,756304,63173,916,184,32033,142,8152,22719,322,481,300,693,267,62,340,2103,2724,854,2997007,83
2008,15179597,301,295,1941,349,237,1749,278,222,14,17864,5210,64,212,218,132700,1542,623,530,401,463,212,206,514,1330,812,2925205,26995,624,892,1524,578,613,7722019,4310851,1873,6663,140,515,1319,177,1748,1974,616,1019,170,98,3561,471,811,724,130
2012,296120,282,694,1705,244,255,4844,466,402,14,184321,2305,73,131,490,1344,4153,292,268,470,600,202,259,1562,2353,1066,1591,739,292,3135,4519,446,1325,3093,33847,356,15848,122,938,4844,182,1281,425,333,562,57,105,9376,626,191,3014,78
2016,6284763,174,575,10662,182,143,5425,729,1039,11,96365,5230,125,117,459,365,1494,308,148,353,15600,2287,178,4799284,56545,437,386,309,205,22855,744296,692,1867,1209,10268,95,2055,96,1054,262808,550,668,145,196,1680,313,175,4747,513,71,229218,57
