year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3260784,1178,57,195692,88,361242,249038,2161,6993,2905,10100,4088,167628,217598,220561,211534,188981,1552,10614,500,6915,6981,227823,831,255,24156,1143,1301,18,302,23704,109,36814,17312,143,230689,19491,808,216419,183,12068,89,952,197392,929,84,153038,218735,1485,7484,621
1978,1573817,1961,853,2194,16979,41221,145048,5910,353,24315,1546,48,743,181678,14412,4538,6750,5131,130900,1103,16564,2350,195043,4537,400,2136,1029,5231,42,237,28902,163,28250,4342,76,149611,1684,899,174293,3990,3368,129931,661,193924,4463,29,11593,19893,1353,2795,345
1980,2503134,6580,44,599,29,182386,1559,238789,172,3101,705,34,2203,230521,204389,15444,2534,695,382,106,9414,14943,232662,10032,1098,2586,509,1203,52,349,221491,29736,34179,50275,505,7853,147757,292013,218306,994,18680,467,444,51469,5937,19,216213,10343,4509,28752,72
1982,3183197,167629,56,167150,2054,31053,2183,189835,2784,25194,1500,24,6920,221977,30959,2044,875,1997,0,17623,4253,1050,11370,441414,150098,186935,1313,601,948,1012,6421,4826,9930,180601,51,14384,1788,20245,525329,1012,5936,10626,146608,142827,1942,44,433458,1424,3122,1717,55
1984,3122656,26251,561,13915,2904,7544,2421,6419,353,2896,3847,40,202472,240569,240957,206912,795,2319,0,175,14512,3459,217752,1650,183366,9314,187,179,590,339,4410,337,50472,1094121,28,4476,4730,4931,293474,157,1020,475,4649,37828,213888,61,9948,1371,2211,1332,39
1986,1519871,492,423,328,213,4599,19792,2589,94,634,3019,243,1451,149434,164930,162561,269,949,14501,1159,133396,509,21467,199760,9030,12380,2333,536,1364,680,1411,268,199100,343747,36,4144,870,2247,4118,489,14319,305,2219,7548,11471,11,2961,13904,234,1269,65
1988,1876117,586,160,252,128,41031,469,450,81,254355,1273,770,215,188007,5473,1218,284,733,563,244,191117,358,4303,2022,2063,3286,1065,222393,470,744,6650,9403,225209,231781,54,1685,3928,222638,2046,861,10117,53,1422,7257,721,5898,1653,219343,283,919,83
1990,1771634,15751,7029,1015,468,367964,2182,11357,92,14962,162665,300,2992,3867,163782,166257,924,121119,3983,24653,1172,8681,3233,2665,181,203177,360,20603,284,4513,22391,101,6184,204065,110,24419,1091,1213,16225,1271,724,82,1007,6405,1936,361,143958,10101,7718,5048,993
1992,4340017,230581,5895,3279,15903,478458,1708,243478,607,276454,255881,75,384,4716,28063,295821,1780,5485,245372,1965,13420,6031,292738,543118,522,33206,8198,17731,4746,1008,6600,848,75023,6296,326,251341,6212,6569,494123,90,12874,54,217445,12383,7489,123,6359,214284,163,4500,292
1994,3706896,176033,157,1317,10696,583349,990,188650,50,14551,8588,993,914,6700,16722,4117,3773,280424,0,10859,851,11861,15001,247404,991,4977,2265,185503,152247,3399,142488,255,339205,174769,1892,201152,7755,265345,176797,1577,6173,183,183513,28742,1245,9145,5332,53606,328,173327,685
1996,3535516,217377,186,255851,6759,509984,1221,232986,55,3947,12054,6755,17061,255862,223198,41657,15532,255261,3021,955,1789,282439,4433,5166,915,19254,1148,454,2392,10471,18587,1057,10219,6834,723,37415,4012,6316,461543,147,1675,227,2032,22988,7481,176,748,520265,70,44342,476
