year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9068305,1041,147,194697,122,380197,245812,3713,6501,14,3909,5933,11932,167230,231049,219858,266020,185893,2052,7918,483404,5834,4344,216615,872,16575,18790,1805,2666,3101,640,26505,10128,22882,10548,1842,4332969,51405,1030351,215386,820,7363,27376,2927,201682,978,3070,183727,222218,1096,25116,1232
1978,5454707,1157,519,1280,9870,23958,143715,3438,414,0,14118,930,32,480,181254,8375,8371,4360,3089,130900,749,9620,1961,185906,2869,491,1253,1063,3087,25,12433,17188,1388,16449,3268,44,146388,1039,640,167787,2343,2426,129689,644,2470457,2591,17,1228999,11551,494140,1639,303
1980,10090744,43931,1081,51118,837782,170618,23136,237232,10238,15,7456,20402,14573,440958,230818,202679,10245,1649,30973,2351,4741,11790,2532783,228605,9261,33997,5938,387,740,199,3516,218181,17423,19939,1839686,333,5121,147528,292927,210947,1042,48649,506,1617888,30197,3496,210540,208043,7218,5425,36355,88
1982,3130521,166615,34,167223,1195,19338,1273,189414,2112,0,14751,888,32,4018,212832,18853,1196,515,1172,0,10355,2560,745,6832,438392,149245,205149,1118,394,10900,592,9569,3855,5822,176605,101,8616,1048,11754,522895,11030,3452,6167,146553,141531,1341,6342,441918,867,1861,1080,371
1984,6420893,15445,404,8136,2088,4661,1557,3860,504,12,1762,2414,495,202499,254660,238192,208081,540,1293899,117,257,10412,10297,217334,2085628,183201,5563,453,4040,395,433,2784,373,29911,1086614,81,2792,2812,3329,275722,4611,722,389,3016,22268,213876,238,5922,1129,5392,1496,77
1986,3024105,1212191,845,332,229,31702,35961,1575,56,0,1052,19582,172,7028,141574,159851,161839,198,589,10302,675,131991,312,12486,195363,5244,9344,1357,315,2682,459,836,158,187176,335982,289035,2526,1061,1395,2741,286,8398,6007,1304,4411,6689,78,1732,23189,141,5614,40
1988,2310691,508,201,524,373,29273,1257,114845,540,12,336054,896,1124,213,199015,3382,1287,505,876,895,614,198104,1249,3601,2638,2319,5735,6628,222743,3827,520,5040,7953,218600,225119,523,1818,2498,225218,12312,1648,5981,1512,1127,4772,521,8248,1152,254863,2899,8000,181129
1990,1671846,9283,4130,599,281,355857,1569,6597,137,0,8706,160114,177,1855,2336,161643,166935,577,124086,2312,14425,692,5368,2127,10045,112,197054,249,12144,170,2672,19352,91,3638,205216,65,14194,653,1778,9434,847,486,1140,644,3853,1128,211,142866,5872,4527,2943,656
1992,6091169,230789,4176,13781,9546,451185,4196,1744954,1057,10,283271,437498,493,807,3561,17791,285472,2739,8265,247731,1741,8083,3646,290263,542959,994,20926,11687,10447,9464,38454,12738,1179,46449,90008,653,262154,4373,6131,496458,196,16447,3853,219557,11056,4746,758,6389,213607,395,6456,1580
1994,3577721,175898,93,1050,6210,571967,580,187998,361,0,8504,4995,605,533,3914,9758,2396,2192,280151,0,6405,686,7097,9405,241452,619,3000,1412,186051,152774,1977,147486,1093,335869,166199,1336,192202,4510,260582,175326,990,3588,107,182215,16825,764,5880,10231,31569,238,172077,551
