year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1996,5801262,214929,285,266634,6172,501695,31337,230957,385,10,3987,80061,4004,10250,249916,223515,26955,9256,313238,1702236,2653,1269,280998,3081,3878,2694,12527,9216,693,465671,12847,11530,1680,6135,7809,1545,23048,3420,8243,460240,211,3294,13182,10959,16147,4464,207,17199,513065,306,26232,997
1998,2288298,804,95,2316,872,31840,10491,157758,49,0,909,2439,134,1527,14272,9805,1109,2959,1152215,191310,115,497,811,2724,4864,916,1393,781,104,440298,925,8660,2088,12999,14017,331,3312,662,6987,177060,64,1830,113,997,3665,787,85,335,3690,45,16080,159
2000,16582432,475,74,2244,18215,208291,1524,227165,808,10,6424583,2797,318,116,14158,6222,1353748,6288,2015,1122,2307,2065,353,323198,325971,562,23371,7562,12724,5863,36606,308801,600108,4520,1838,1023,6997,740,1534511,10386,388,793,140,4324,3220,522,608,7949,2467817,10063,2606832,97
2002,1238432,13673,30,4978,1189,3737,175863,1553,224,0,22079,156922,246,247,1635,7993,3612,5619,10635,2197,4009,4373,413,1021,12965,513,483,116,96,666,3368,1371,974,181504,2795,2590,1091,1586,1054,21179,155,724,338462,2762,12385,224239,56,398,3954,277,295,126
2004,5282241,466,6245,1180,1461,4941,11052,4154,1069,10,51137,5512,960,123,7120,289854,134654,897,35791,115736,1058,696,422,6133,6444,453,3135,198,619,9234,32027,2361,757251,329309,5213,290,14819,756,4591,26261,231,1096,392389,1003,6995,604,202,2149,4730,698,2998152,360
2006,5712768,275,211,5918,302,10227,9425,248532,205,0,262237,302376,261,2231,12576,6088,10192,5031,11425,995,121,934,293,7346,3383,236,11786,406657,1583,18361,9825,200405,211338,253657,123380,100,463997,312,697,497193,1267,743,38,8405,3680,327,832,2379063,8068,425,13556,196253
2008,20842429,293184,319985,2747,219,388706,2198,4545,277,8,16167,3358,68,347809,4256,56499,1524,3644,4605,411849,986,360870,397,14080,2895706,1148,2934949,11401,4550,2969,4027,5759,1343,7746790,4313239,892,312011,468,5558,21774,172,6032,976,654,5682,235,51,322338,2630,782,1638,674
2010,3685385,13076,2836,288138,1330,252059,25548,2815,238,0,4314,10052,1483,640,218244,191021,20255,376,240339,461,892,831,4510,13619,25371,2699,14223,81,180,269744,225201,10266,5432,615214,193979,639,7561,497,3161,442811,1627,1491,11356,789,111316,3070,106,234474,22226,180329,8438,27
2012,3868433,435,338,307175,656,34071,16575,9190,272,8,419375,2569,864,178,562798,277293,4004,402,4228,538,666,544,391368,351488,358500,877,1415,4882,24099,43672,8397,2324,2765,61142,355172,321629,14875,450,1110,10240,657,1724,451,923,5779,245465,98,8296,2396,1260,4717,83
2014,2092978,218,12942,222528,1577,250781,16956,2366,434,0,258738,2171,4101,248,12769,919,15177,929,604,3354,2157,191091,1291,3476,268848,253,1581,442,5218,7659,10886,2223,872,388285,24844,193,893,213,709,1831,298,687,163,463,117358,2360,52,89816,154948,6007,1002,47
2016,8630465,1091,689,6589,370,336900,5667,899,711,7,56284,3167,122,185,4113,1532,3231,837,617,1502,7454,1669,412,4801066,736531,345,7967,368,288436,333510,1515443,4576,1043,9316,8105,85,1900,286,1462,141564,372,884,172,417,232291,673,157,4915,2417,328,101708,80
2018,12253297,468,1377,13795,1614,141766,1870,797,191,0,8216899,598399,76,187,276772,3389,20263,265527,6008,190,281600,497,489,12164,299637,526,5828,7324,15447,4088,1136,311912,17430,322985,288237,601,9837,239272,868,24337,247,288337,98,909,255169,269593,66,30632,6095,6364,1891,93
