year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9147908,1463,208,196014,168,392949,248165,5278,9267,19,5551,8440,17023,167578,238519,221477,292249,35475,2914,11285,483586,8302,6166,227195,1229,23641,26799,2572,3792,4419,910,37791,14446,32534,15034,2623,4344316,73343,1030547,226335,1160,10490,39059,4157,205445,1389,4378,199019,224064,1556,35818,1751
1978,3560646,1632,740,1813,14077,34123,144679,4899,586,0,20134,1297,41,677,182467,11929,11934,6216,4393,130900,1061,13715,2764,194608,4074,690,1773,1510,4396,35,17738,24498,1975,23391,4647,62,148282,1471,898,171616,3338,3452,129884,899,482072,3693,25,1231856,16471,494470,2316,429
1980,8683124,62671,1540,72929,837863,177888,33002,239050,14606,17,10608,29087,20788,441515,231840,204910,14603,2337,44182,3335,6758,16807,2536464,232316,13203,48498,8449,546,1045,282,5006,220430,24855,28370,313149,468,7260,24216,293846,226434,1483,69403,712,1617986,43047,4978,211144,213208,10278,7734,51855,123
1982,2928951,167209,46,167393,1700,27519,1808,192804,3009,0,21011,1239,40,5729,218223,26881,1693,724,1655,0,14772,3637,1037,9710,258889,23684,215469,1590,554,15549,840,13625,5494,8237,178959,142,12262,1482,16763,524472,15731,4913,8798,146686,142467,1905,9047,447653,1216,2643,1516,526
1984,6203138,22024,570,11593,2968,6567,2204,5493,715,16,2488,3417,696,202536,263983,239926,208926,756,1294527,165,355,14842,14664,220578,2086117,28104,7920,638,5757,559,608,3945,522,42591,927966,111,3947,4004,4739,287308,6571,1020,548,4275,31723,213905,336,8421,1598,7680,2110,106
1986,3000385,1212302,1200,465,320,45147,51305,2238,79,0,1473,27917,238,10024,146265,162963,25302,273,821,14693,960,132948,428,17779,197951,7478,13315,1932,444,3822,649,1169,222,195284,340565,289042,3569,1507,1980,3869,403,11967,8569,1842,6255,9536,110,2449,33075,195,7991,55
1988,2489548,710,283,734,528,41674,1782,163861,765,16,372587,1261,1595,300,206441,4805,1820,712,1237,1273,871,201238,1749,5106,3745,3302,8162,9451,222934,5455,740,7169,11341,223097,229276,742,2556,3555,226433,17533,2344,8523,2152,1586,6771,733,11762,1622,270500,4125,11392,181199
1990,1756272,13231,5891,842,394,362975,2227,9404,192,0,12391,161616,250,2643,3285,162901,167274,807,125516,3296,20576,968,7632,3003,14314,150,200664,352,17322,236,3807,27584,123,5138,206866,91,20220,917,2527,13436,1202,682,1622,894,5458,1603,301,143521,8365,6453,4178,932
1992,5811689,37734,5950,19657,13614,469826,5977,1536447,1505,13,292605,517390,696,1143,5046,25362,292965,3897,11777,248815,2480,11517,5179,292608,543387,1402,29845,16669,14897,13497,54868,18153,1671,66210,128418,923,270734,6227,8733,503239,272,23451,5497,220824,15729,6766,1078,9093,35897,556,9197,2253
1994,3339990,175974,129,1482,8857,495252,821,188812,513,0,12100,7114,859,757,5551,13906,3411,3121,280308,0,9133,964,10109,13397,247271,876,4264,2013,186358,153028,2816,150068,1551,231095,171254,1900,42329,6423,263392,185706,1404,5106,152,183270,23959,1080,8388,14570,45028,330,173005,784
1996,5408033,42021,401,271470,8797,262908,44694,232313,544,13,5649,114226,5709,14616,253841,35522,38448,13202,339391,1703142,3777,1790,282943,4349,5519,3833,17854,13143,977,466262,18321,16420,2388,8673,11113,2201,32843,4868,11748,461633,290,4686,18803,15617,23011,6362,288,24509,517647,431,37410,1417
