year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,2366679,1127,129,3285,1234,45335,14958,158002,69,0,1283,3466,189,2175,20330,13963,1574,4217,1155111,191332,162,699,1134,3861,6923,1299,1973,1112,139,442186,1314,12337,2974,18483,19976,468,4693,930,9958,178727,87,2588,158,1401,5174,1113,118,458,5249,56,22926,224
2000,16506205,664,99,3184,25984,220209,2158,227695,1151,11,6212726,3978,447,163,20166,8853,1354045,8963,2864,1592,3289,2934,486,334117,341781,782,33330,10781,18148,8359,52230,312552,600746,6352,2602,1454,9951,1039,1534738,14783,546,1119,195,6154,4518,730,865,11322,2470544,14345,2610329,132
2002,1312792,19495,36,7084,1687,5247,177121,2201,316,0,31471,160172,346,343,2302,11391,5141,8010,15164,3106,5716,6226,574,1424,18485,720,675,164,130,940,4798,1931,1387,182716,3956,3692,1528,2256,1495,30186,213,1022,338869,3925,17614,224296,79,544,5624,389,408,177
2004,5467320,645,8908,1661,2074,6955,15753,5911,1522,11,72925,7850,1365,166,10125,290836,192132,1265,51056,116182,1502,973,580,8724,9179,639,4458,278,879,13160,45694,3341,757651,341827,7408,404,21109,1065,6540,37437,327,1547,392897,1406,9924,854,281,3046,6728,989,2998621,510
2006,5818873,380,300,8427,423,14495,13435,251132,288,0,272439,302517,367,3179,17909,8670,14537,7174,16291,1400,165,1313,398,10450,4805,331,16798,406719,2252,26190,14017,200947,211431,264843,124154,138,466249,437,983,500761,1801,1048,51,11977,5194,457,1184,2382724,11496,600,19330,196267
2008,21137287,295640,320945,3902,304,396710,3115,6474,388,9,23031,4760,90,347900,6040,80603,2161,5188,6556,587674,1400,361021,545,20053,2899127,1621,2939090,16264,6483,4228,5744,8187,1906,7757304,4314236,1269,315470,658,7917,31033,238,8585,1385,908,8047,327,71,324557,3742,1103,2321,957
2010,3174443,18648,4042,44721,1891,256892,36436,4006,337,0,6100,14313,2114,909,224965,191609,28888,529,240802,640,1268,1172,6416,19402,36187,3848,20275,112,253,270537,33324,14627,7745,621597,195743,908,10761,700,4500,245735,2318,2109,16203,1101,113296,4374,148,237670,31697,180520,12018,37
2012,3812633,602,478,313514,927,48527,23637,13103,382,10,457200,3643,1224,250,564455,45618,5704,565,6020,751,942,757,391992,353359,359915,1240,2005,6961,34380,62307,11975,3290,3934,87173,363022,321831,21185,633,1570,14574,931,2446,639,1297,8167,245537,135,11813,3393,1792,6714,114
2014,2072228,295,18465,223870,2243,279372,24181,3362,612,0,262524,3073,5847,348,18181,1299,21645,1315,851,4771,3070,191317,1821,4935,270006,350,2242,629,7439,10921,15527,3147,1241,228779,35424,274,1248,296,1005,2585,418,957,230,644,118124,3361,73,128137,155731,8566,1416,61
2016,8849912,1535,974,9377,518,348227,8068,1266,1011,10,80254,4493,163,259,5831,2162,4599,1187,868,2126,10633,2318,571,4801799,755168,484,11344,523,288487,343128,1529102,6507,1480,13190,11535,114,2673,395,2081,201966,527,1240,237,579,233631,947,222,6990,3431,459,145110,113
2018,12407100,656,1963,19669,2298,153703,2657,1123,270,0,8228344,598773,103,261,279203,4813,28907,265884,8562,256,281691,692,677,17326,303029,741,8301,10447,22038,5824,1619,314035,24863,338719,290580,856,14006,239397,1229,34694,348,288714,137,1273,274358,269723,90,43693,8675,9072,2680,128
