year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,10012718,2778,390,200039,311,431914,255356,10082,17725,33,10579,16113,32553,168636,261395,226425,372334,197493,5549,21571,484143,15856,11755,259527,2329,45223,51241,4907,7248,8445,1729,72253,27626,62094,28729,5010,4378973,140311,1031146,259794,2212,20050,74727,7922,216933,2651,8368,245716,229715,2969,68500,3340
1978,5923637,3096,1407,3463,26926,65195,147618,9350,1114,0,38499,2448,72,1286,186197,22800,22810,11880,8381,130900,2026,26225,5260,221181,7769,1307,3368,2884,8403,63,33928,46823,3774,44659,8862,117,154090,2803,1708,183339,6376,6589,130481,1695,2556555,7063,43,1240597,31500,495486,4407,814
1980,11149107,119895,2933,139524,838113,200124,63130,244607,27939,33,20253,55614,39767,443212,235008,211758,27920,4452,84516,6358,12921,32124,2547725,243668,25237,92780,16137,1038,1992,527,9570,227335,47544,54162,1912325,894,13825,150857,296658,273736,2834,132769,1358,1618305,82299,9518,212980,228994,19641,14782,99183,233
1982,3566846,169031,87,167923,3244,52526,3442,203157,5751,0,40159,2344,69,10958,234700,51400,3223,1375,3148,0,28255,6937,1944,18527,452359,151583,246976,3032,1049,29745,1597,26028,10501,15666,186153,265,23400,2821,32056,529305,30091,9388,16831,147108,145360,3633,17305,465171,2307,5042,2870,1004
1984,6846818,42111,1080,22168,5668,12459,4203,10492,1362,27,4727,6497,1326,202653,292457,245223,211524,1426,1296443,313,669,28374,28022,230510,2087618,184517,15134,1215,11002,1060,1155,7506,985,81333,1121526,207,7505,7635,9039,322689,12566,1928,1040,8155,60641,213996,640,16076,3030,14679,4016,191
1986,3483866,1212664,2292,875,595,86280,98136,4262,147,0,2787,53380,447,19169,160604,172489,163796,515,1544,28103,1834,135882,778,33969,205868,14296,25460,3692,841,7303,1235,2200,414,220088,354552,289066,6786,2868,3763,7355,769,22874,16391,3495,11907,18241,201,4661,63265,368,15257,102
1988,3036061,1334,533,1389,998,79624,3387,313496,1455,27,484120,2386,3042,565,229158,9161,3465,1351,2338,2429,1650,210825,3311,9706,7140,6293,15596,18070,223525,10426,1402,13669,21690,236808,241978,1411,4831,6797,230141,33500,4482,16291,4114,3001,12895,1395,22496,3061,318249,7883,21764,181403
1990,2014623,25291,11269,1597,740,384798,4245,17975,363,0,23669,166210,471,5050,6238,166763,168324,1522,129898,6306,39358,1838,14577,5677,27361,282,211695,662,33133,444,7278,52736,230,9699,211910,174,38628,1743,4815,25669,2297,1284,3099,1679,10400,3059,571,145528,15984,12338,7971,1775
1992,7320720,235290,11377,37580,26029,526808,11410,1747651,2872,20,321152,761286,1322,2173,9593,48496,315844,7440,22514,252127,4728,22012,9881,299767,544702,2665,57069,31887,28493,25807,104964,34695,3189,126581,245652,1760,296946,11884,16689,523975,514,44847,10504,224724,30032,12929,2056,17357,220510,1052,17560,4305
1994,4078491,176214,245,2823,16929,661532,1554,191296,976,0,23097,13583,1633,1439,10567,26575,6510,5967,280806,0,17467,1817,19311,25586,265055,1668,8130,3848,187309,153809,5381,157980,2963,344655,186686,3633,214724,12269,271965,217432,2681,9755,289,186511,45772,2058,16043,27846,86132,620,175855,1495
