year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1996,6681619,230474,762,286234,16808,522804,85497,236456,1029,20,10740,218521,10913,27963,265863,229765,73551,25238,419230,1705913,7214,3399,288911,8284,10534,7318,34133,25139,1859,468066,35046,31381,4555,16491,21229,4205,62795,9288,22459,465945,550,8940,35968,29853,43976,12161,548,46869,531651,820,71548,2703
1998,2606539,2134,244,6273,2355,86602,28602,158758,130,0,2434,6612,352,4154,38838,26688,2996,8054,1163946,191408,306,1309,2150,7344,13219,2474,3748,2124,260,447955,2508,23561,5685,35239,38188,894,8925,1765,19036,183850,162,4938,298,2661,9809,2119,223,839,10006,106,43830,428
2000,17139153,1252,184,6067,49705,256686,4116,229315,2192,20,6430940,7584,842,304,38528,16907,1354971,17134,5454,3024,6277,5575,891,367483,390056,1485,63744,20623,34711,15981,99927,324039,602686,12014,4943,2774,18994,1975,1535448,28235,1034,2116,369,11733,8585,1386,1643,21627,2478890,27438,2621002,244
2002,1540398,37279,65,13528,3216,9883,180975,4201,602,0,60168,170110,661,651,4358,21773,9823,15305,28995,5925,10928,11883,1061,2696,35345,1370,1264,306,235,1790,9174,3657,2643,186455,7532,7062,2881,4301,2840,57699,402,1942,340117,7483,33628,224471,148,1006,10730,733,764,334
2004,6033071,1209,17034,3158,3957,13170,30116,11291,2905,19,139471,14994,2596,308,19332,293846,367589,2405,97671,117569,2861,1835,1077,16645,17541,1209,8496,527,1667,25173,87413,6357,758874,380123,14147,770,40337,2018,12490,71576,614,2943,394452,2672,18902,1623,533,5783,12843,1885,3000074,971
2006,6143447,706,571,16099,798,27608,25684,259086,546,0,303606,302962,699,6079,34212,16564,27798,13713,31159,2664,309,2491,722,19956,9175,614,32121,406911,4300,50099,26812,202635,211716,299052,126527,262,473146,820,1870,511666,3438,1981,97,22891,9873,867,2261,2393912,21970,1137,36950,196312
2008,22038029,303154,323884,7445,566,421155,5940,12369,736,15,44000,9078,169,348178,11496,154196,4112,9906,12526,1124383,2671,361491,1002,38321,2909595,3091,2951749,31113,12389,8080,10975,15633,3634,7789452,4317287,2426,326046,1242,15127,59324,441,16406,2643,1712,15310,612,128,331362,7132,2098,4411,1818
2010,4221064,35654,7731,295968,3603,271724,69694,7642,640,0,11607,27356,4036,1726,245492,193430,55261,998,242236,1209,2420,2222,12252,37084,69220,7351,38766,215,474,272958,226115,27951,14810,641131,201170,1735,20525,1324,8590,476962,4428,4017,30999,2094,119405,8359,278,247432,60624,181097,22980,69
2012,4588405,1132,909,332884,1764,92703,45209,25045,726,16,572695,6945,2336,468,569540,283843,10900,1068,11502,1420,1791,1424,393921,359086,364240,2350,3810,13305,65770,119199,22902,6262,7511,166661,386989,322455,40498,1193,2990,27829,1768,4653,1217,2449,15545,245763,248,22568,6463,3415,12813,212
2014,2664479,553,35322,227977,4275,366740,46241,6421,1167,0,274095,5855,11181,655,34730,2460,41405,2504,1612,9110,5866,192008,3449,9398,273572,657,4271,1196,14219,20887,29701,5995,2360,396858,67749,524,2352,552,1899,4909,792,1812,439,1212,120497,6420,135,245141,158134,16376,2687,109
2016,9520679,2924,1858,17923,979,382866,15410,2399,1926,12,153493,8564,303,478,11111,4105,8783,2249,1643,4024,20337,4372,1061,4804053,812070,914,21677,995,288645,372489,1570804,12408,2817,25132,22037,212,5064,740,3954,386389,1001,2344,447,1080,237811,1801,415,13332,6537,871,277609,211
2018,12877836,1234,3751,37604,4386,190185,5065,2129,511,0,8263296,599935,194,498,286684,9192,55298,266962,16370,473,281977,1296,1276,33107,313385,1401,15863,19982,42154,11129,3090,320542,47560,387436,297733,1630,26751,239785,2339,66345,657,289866,260,2415,332969,270129,169,83566,16566,17350,5103,238
