year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,20987,0,0,394,0,4119,0,168,308,69,0,255,0,0,128,0,0,0,0,111,142,28,1453,24,0,220,58,1361,45,0,89,231,348,0,69,4939,0,0,1452,187,0,0,1548,217,283,2027,124,19,0,23,548
1978,1900623,5,18,0,12,0,135,0,159,0,11,0,36,735,0,4407,338,79,0,81,0,443,2507,172,194,0,355,37,0,9451,305,992,0,565,0,0,43,85,0,19,358,40,190,163167,0,0,1222256,0,493351,0,77
1980,896387,4662,763,38981,139,115,17016,253,0,4184,15151,13,439647,248,803,724,61,51,125,0,45,0,0,0,0,2451,0,0,98,2499,0,0,26,136391,0,27,454,676,7593,0,28,128,0,0,21,209124,0,662,0,13228,0
1982,57960,0,0,163,0,972,0,2378,381,85,0,12,0,0,674,0,0,0,0,99,63,90,160,1257,57,15928,272,30,7954,0,4474,808,8,0,54,188,0,0,113,8023,0,0,83,140,160,4856,8110,22,33,52,261
1984,1318819,67,26,0,214,0,53,0,113,0,13,0,21,13061,0,328,15,1292407,0,21,0,451,2147,164,96,0,173,2998,0,145,53,26,0,3086,0,0,18,43,0,22,38,21,60,158,0,0,29,0,2738,0,14
1986,1588212,1211897,459,106,78,22273,18807,53,0,514,13693,21,4752,46,94,44,28,21,1449,0,103,0,0,0,0,1653,0,0,1452,48,0,0,824,0,289013,76,423,64,248,0,60,4481,0,0,23,56,0,11615,0,3738,0
1988,353483,0,0,184,0,578,0,86315,80,63959,0,15,0,0,35,0,0,0,0,11,83,48,95,192,753,36,3304,201,2631,0,650,67,33,0,109,238,0,0,41,548,0,0,50,126,37,31,26,9750,55,2238,180964
1990,19496,105,39,0,4,0,229,0,64,0,0,0,91,50,0,562,21,2408,0,90,0,240,173,6523,0,0,31,143,0,39,4875,23,0,1764,0,0,11,820,0,83,45,838,31,87,0,0,12,0,36,0,59
1992,1558447,46,196,70,111,1743,530,1500661,0,50,27469,42,270,426,164,26,43,62,0,0,26,0,0,0,0,920,0,0,359,5419,0,0,2167,2743,112,571,108,1429,5717,0,4583,44,0,0,179,384,0,722,0,1055,0
1994,35863,0,0,214,0,11629,0,326,255,28,0,19,0,0,33,0,0,0,0,78,141,157,525,1749,32,77,75,481,430,0,4186,723,156,0,182,212,0,0,7200,54,0,0,224,90,28,442,5470,348,32,148,119
1996,1755777,925,11,0,1580,0,1393,0,95,0,25138,0,152,188,0,1748,59,285,1700102,1523,0,799,134,517,24,0,1834,210,0,4791,429,35,0,1005,0,0,163,2908,0,57,510,6589,75,387,0,0,1778,0,17,0,316
1998,1610341,67,15,27,273,439,61,42,0,75,863,12,27,5345,55,32,40,1145414,42,0,27,0,0,0,0,560,0,0,435864,29,0,0,6788,2639,58,277,36,60,64,0,918,69,0,0,47,18,0,163,0,9895,0
2000,2516147,0,0,7,0,116,0,54,328,1904,0,19,0,0,38,0,0,0,0,32,67,12,17211,1382,38,10593,4095,9643,185,0,4921,85,287,0,89,77,0,0,946,183,0,0,42,42,39,26,2199,2461379,15,77,16
2002,356765,130,10,0,759,0,1830,0,151,0,973,0,43,91,0,417,9,54,191,163,0,13,88,9273,9,0,45,10,0,2296,458,53,0,613,0,0,98,160,0,14,436,337501,461,317,0,0,9,0,68,0,22
2004,466542,38,4715,15,330,113,1980,39,0,36370,142,15,5,24,76,26,26,26687,79,0,48,0,0,0,0,258,0,0,66,44,0,0,28,2169,35,62,326,45,386,0,494,391188,0,0,28,22,0,300,0,363,0
2006,2796040,0,0,461,0,75,0,414,27,93,0,75,0,0,9,0,0,0,0,15,454,32,185,110,55,8661,406505,59,215,0,176,28,10,0,31,303,0,0,154,931,0,0,6129,70,45,41,2370445,157,15,31,29
2008,3216087,64,317723,0,15,0,415,0,54,0,209,0,77,29,0,72,80,1310,1105,90,0,38,54,2887646,90,0,22,148,0,1111,228,89,0,623,0,0,144,3873,0,23,197,76,40,314,0,0,48,0,62,0,18
2010,38061,50,2150,73,101,435,16410,11,0,98,122,16,21,0,206,47,23,350,123,0,65,0,0,0,0,238,0,0,1326,83,0,0,9,326,16,146,23,138,11322,0,36,0,0,0,52,39,0,2059,0,1947,0
2012,369970,0,0,4795,0,73,0,12,32,266,0,75,0,0,1309,0,0,0,0,82,43,815,104,37,163,177,3113,190,30990,0,121,1351,11,0,321144,1221,0,0,548,53,0,0,37,179,35,21,1319,105,78,1455,16
2014,119059,5,9525,0,153,0,11507,0,245,0,766,0,49,378,0,636,391,187,2325,34,0,85,251,423,94,0,144,42,0,4361,249,372,0,18079,0,0,28,120,0,28,140,86,49,60,0,0,68175,0,58,0,14
2016,785017,60,149,259,81,86,1353,20,0,754,233,19,29,192,463,74,50,219,231,0,71,0,0,0,0,5646,0,0,7167,739140,0,0,1354,1369,12,101,24,78,21572,0,7,25,0,0,27,57,0,142,0,3953,0
2018,8227475,0,0,8175,0,664,0,15,94,8190005,0,25,0,0,1270,0,0,0,0,114,37,76,1068,156,246,1322,3547,123,1746,0,358,70,4285,0,390,983,0,0,275,87,0,0,391,6933,43,28,177,163,4182,394,33
