year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9463334,1766,250,196933,200,401840,249801,6376,11195,21,6702,10189,20559,167819,243742,222607,310480,190743,3517,13628,483714,10027,7446,234561,1484,28556,32364,3104,4581,5335,1098,45642,17447,39290,18153,3166,4352213,88588,1030684,233958,1402,12669,47177,5020,208066,1677,5287,209650,225355,1880,43258,2114
1978,5650879,1971,890,2194,17003,41221,145350,5910,707,0,24315,1568,48,818,183325,14412,14415,7506,5302,130900,1284,16564,3339,200661,4918,833,2136,1825,5312,42,21423,29583,2387,28250,5609,76,149611,1777,1087,174293,4029,4167,130019,1085,2506464,4463,29,1233849,19893,494704,2795,517
1980,10533412,75694,1859,88093,837921,182965,39865,240320,17641,22,12813,35130,25105,441903,232574,206474,17636,2822,53366,4027,8163,20293,2539033,234904,15946,58581,10203,662,1261,339,6048,222010,30021,34266,1870062,570,8762,148924,294486,237205,1791,83824,864,1618060,51988,6012,211562,216807,12410,9341,62635,149
1982,3313054,167629,56,167513,2054,33229,2183,195162,3636,0,25380,1500,47,6920,221977,32465,2044,875,1997,0,17840,4393,1250,11726,444229,150223,222646,1919,667,18780,1012,16452,6636,9943,180601,169,14802,1788,20245,525579,19001,5936,10626,146789,143137,2300,10929,451640,1471,3192,1831,635
1984,6599097,26600,689,14002,3585,7929,2660,6631,864,18,3004,4123,841,202564,270468,241133,209522,913,1294966,199,429,17921,17711,222845,2086461,183750,9569,773,6955,674,732,4761,630,51444,1101214,132,4765,4836,5719,295370,7939,1230,660,5169,38314,213927,407,10170,1927,9278,2549,125
1986,3216438,1212389,1450,562,383,54537,61962,2703,94,0,1781,33718,289,12106,149536,165139,162657,331,991,17745,1159,133621,509,21467,199760,9030,16084,2333,536,4614,783,1411,268,200943,343747,289049,4310,1817,2387,4674,489,14452,10351,2219,7548,11517,132,2961,39948,234,9647,65
1988,2614071,859,340,888,633,50331,2147,197913,923,20,397975,1521,1926,363,211619,5800,2198,863,1490,1535,1049,203421,2111,6155,4521,3984,9855,11412,223072,6587,891,8650,13695,226205,232169,894,3082,4296,227278,21178,2833,10295,2602,1913,8178,886,14206,1950,281372,4984,13757,181246
1990,1815253,15981,7115,1015,473,367964,2691,11357,231,0,14962,162665,300,3192,3978,163782,167513,970,126516,3983,24852,1172,9216,3616,17287,181,203177,425,20920,284,4597,33320,148,6184,208017,110,24419,1111,3049,16225,1455,823,1959,1076,6597,1936,361,143982,10101,7793,5048,1124
1992,6605443,232675,7189,23737,16441,482815,7215,1746082,1816,14,299119,572895,839,1378,6088,30627,298171,4706,14228,249569,2991,13913,6259,294247,543691,1695,36047,20133,17995,16299,66267,21919,2019,79971,155096,1116,276706,7514,10549,507969,328,28326,6636,221716,18996,8168,1302,10979,216493,671,11104,2724
1994,3787226,176033,157,1796,10696,609425,990,189378,619,0,14612,8588,1035,914,6700,16794,4117,3773,280424,0,11032,1161,12211,16171,251325,1061,5146,2432,186580,153209,3399,151871,1875,339554,174769,2296,201625,7755,265345,192938,1697,6173,183,184012,28942,1305,10131,17593,54385,397,173655,947
1996,6169495,221430,486,274831,10622,510537,53983,233258,656,14,6816,137962,6897,17658,256584,226132,46445,15942,357560,1703773,4558,2160,284310,5262,6663,4632,21562,15874,1182,466671,22126,19833,2885,10476,13430,2659,39671,5873,14191,462627,352,5654,22710,18860,27791,7682,351,29610,520836,521,45185,1712
1998,2421452,1361,156,3971,1493,54748,18061,158178,83,0,1548,4188,228,2626,24547,16863,1897,5093,1157123,191351,195,839,1372,4664,8361,1567,2384,1342,169,443501,1585,14895,3592,22313,24124,567,5665,1122,12023,179905,105,3128,190,1692,6248,1344,141,550,6328,70,27685,271
2000,16815335,800,122,3848,31385,228539,2609,228065,1391,14,6427245,4801,539,196,24354,10689,1354260,10823,3457,1916,3967,3536,585,341714,352769,949,40257,13025,21917,10093,63086,315175,601191,7658,3138,1756,12018,1257,1534901,17852,661,1347,235,7429,5475,885,1041,13669,2472447,17329,2612759,161
2002,1364792,23548,47,8556,2036,6320,178003,2661,382,0,38008,162440,419,417,2774,13760,6210,9670,18316,3758,6904,7519,688,1723,22325,870,813,195,156,1133,5794,2328,1674,183576,4780,4459,1843,2726,1803,36454,259,1236,339154,4739,21265,224336,97,653,6792,468,492,213
2004,5596263,778,10759,2006,2504,8387,19028,7140,1836,14,88082,9481,1645,198,12229,291526,232060,1527,61666,116499,1812,1177,693,10534,11090,773,5381,337,1057,15901,55187,4033,757931,350545,8948,491,25489,1282,7895,45211,394,1866,393251,1700,11978,1030,342,3674,8126,1196,2998958,616
2006,5892949,453,363,10176,510,17507,16225,252945,350,0,279539,302627,444,3841,21622,10474,17556,8662,19676,1693,200,1586,476,12623,5807,399,20289,406764,2719,31635,16930,201342,211496,272639,124701,167,467822,526,1187,503252,2178,1263,63,14464,6273,551,1432,2385283,13881,724,23335,196279
