year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6124074,560,170,311,108,27274,618,3460,3061,20,3392,87,14078,172,23630,1715,92374,1491,1957,2915,482968,2439,345,3082,562,25292,8307,1835,219,4236,820,21266,15214,1030,710,2555,4110456,53303,1029876,12828,717,536,65666,572,9241,108,612,53902,6637,339,30780,252
1980,5275256,47544,103,82,837582,308,138,940,16077,24,323,449,18039,43,1450,255,558,137,46182,3025,6951,8669,2524090,2137,5357,45127,1868,132,55,65,90,504,252,30,19240,54,805,142,881,1721,690,54054,108,1617616,477,30,2120,565,561,4130,3429,69
1984,2120361,207,62,75,200,317,115,200,225,16,84,211,768,40,520,163,1559,85,220,196,199,2753,12139,257,2084449,141,245,164,55,80,63,230,239,590,156,96,243,58,613,1560,7136,123,136,334,109,35,329,143,510,772,1105,60
1988,151293,209,155,187,441,6913,1407,3854,624,19,208,221,827,135,22393,245,905,507,676,952,604,10990,1395,1500,1715,217,6424,2417,194,191,144,506,3275,586,419,613,753,327,4613,18810,695,154,2134,388,561,77,7025,226,33261,3937,6101,187
1992,549026,1697,883,17588,291,456,3594,2120,1151,16,19146,219138,599,385,372,2142,1928,2654,7501,3455,992,399,238,1329,508,946,634,10473,255,11487,47121,12302,1038,61,118298,538,21418,1027,662,1037,235,5037,5844,3736,5829,274,316,4972,526,448,3691,2263
1996,772795,1853,250,18314,300,538,45993,275,336,14,2736,69514,132,219,310,2359,816,257,80525,582,186,371,79,474,331,3181,2260,9024,275,464279,847,254,1548,168,3761,1741,1843,1315,1272,1085,78,2804,6340,14144,3589,178,181,23788,497,364,710,528
2000,12192264,403,90,2508,2781,661,1216,308,586,14,5963110,610,259,52,663,412,1353022,233,425,1481,3568,306,115,3232,14247,344,8691,141,122,7037,65412,401,598605,1691,579,98,7015,201,1533950,4687,104,372,169,5688,191,52,873,1500,2654,2747,2598607,52
2004,4326573,136,136,855,893,885,3655,883,1424,13,3252,290,1317,59,890,236,399122,123,265,396,1111,584,146,9915,9254,280,1757,203,94,11893,48867,2205,756304,26837,622,124,20750,89,4887,13225,213,280,223,466,181,42,218,1483,1905,543,2997007,60
2008,15116612,203,185,1132,229,154,1129,161,158,12,10455,3617,46,149,153,100929,970,433,374,279,338,126,145,342,919,538,2925205,18429,454,561,1015,427,440,7722019,4310851,1179,3745,97,339,800,116,1291,1255,454,710,106,62,2490,309,507,510,86
2012,179131,189,494,1177,169,171,3158,365,249,12,103965,1591,51,81,329,939,3148,187,179,314,421,140,173,1025,1429,755,973,492,216,2069,3065,286,864,1372,23571,219,10840,87,622,3622,105,858,283,209,377,35,69,5770,442,113,1824,62
2016,5998435,113,389,6381,113,95,3462,417,712,10,66493,3016,91,75,277,233,887,201,109,237,10944,1039,110,4799284,36895,310,260,228,133,14555,744296,439,1214,563,7158,59,1312,68,715,162257,411,379,95,147,1079,221,120,3106,343,49,127319,40
