year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,3245802,1028,49,195352,70,360272,247974,2041,6175,2324,7729,3540,167486,217213,220226,211005,187874,1373,9489,431,6509,5558,230451,727,230,26299,1019,1216,21,325,19397,105,34779,15547,149,226576,19107,716,225412,160,11889,85,850,196854,810,75,152714,218705,1312,6040,541
1978,1534027,1725,755,1822,17468,38934,144406,4984,299,24148,1330,48,657,181351,12662,4158,5859,4437,130900,934,14572,2121,192506,4294,355,1931,903,5649,38,202,34988,135,26893,3776,66,148489,1420,782,173002,3913,2903,129856,610,172787,4364,28,10535,16145,1145,2472,294
1980,2480947,5571,44,571,27,179125,1426,238371,160,2877,658,33,1976,230285,203607,14754,2327,622,325,94,8461,12318,231071,8475,1139,2319,496,1129,45,310,219840,29655,32832,55504,514,7223,147505,291728,211639,873,17043,423,398,59091,5427,19,214291,9380,4007,24896,67
1982,3147053,167491,51,167117,1862,27151,1935,188979,2487,22800,1351,24,6153,218486,26428,1720,844,1855,0,16671,3780,966,10662,439754,149930,186025,1200,563,802,875,5848,4441,9092,179292,47,11960,1495,17225,524641,972,4767,9865,146582,142333,1819,41,432936,1338,2747,1623,51
1984,3091569,27559,498,11773,2507,6786,2175,5940,319,2647,3330,38,202475,239589,239953,206791,745,2035,0,160,11118,3174,216856,1568,183296,8133,182,175,512,313,3961,309,50066,1093489,28,4246,4251,4541,286568,147,911,413,4354,30445,213881,57,8851,1250,1909,1230,36
1986,1509408,412,376,296,203,4234,18055,2101,90,587,2700,196,1267,147766,163779,162347,237,913,11815,1011,132970,468,27815,199644,7389,10418,2236,435,1272,666,1237,243,202226,343088,33,3738,683,1966,3979,457,11817,257,1906,6682,10983,11,2514,14419,208,1224,62
1988,1868181,562,136,228,111,44400,416,425,62,254192,1150,734,194,187367,5058,1081,253,677,482,245,191089,316,3923,1812,1935,3064,846,222370,413,691,6507,7009,224343,230796,47,1563,3688,222617,1830,802,9286,49,1236,6821,693,4944,1456,219187,252,768,77
1990,1738725,13346,5728,808,432,363468,2040,9130,81,13550,162115,267,2648,3391,162965,166242,805,121073,3273,24443,1087,7449,2816,2298,179,202187,341,17495,253,4114,19272,102,5521,203824,119,23135,1029,1200,15157,1079,645,72,908,5874,1831,309,143817,9080,6531,4389,830
1992,4296413,230582,5153,3058,13474,472154,1602,243390,565,274631,255243,72,361,4338,24269,290487,1500,5202,245381,1634,11772,5507,291790,542919,465,30281,6555,15640,5342,882,5985,703,73151,5877,295,250137,6010,6306,493640,78,10453,50,217372,11527,6308,110,5848,214144,147,3777,268
1994,3702920,176019,138,1252,10918,606566,928,188308,48,13539,7567,949,800,6008,15013,3408,3389,280364,0,10046,755,10478,13884,245315,947,4597,1908,185483,152238,2494,142415,240,338303,172190,1618,198265,7243,264746,175647,1571,5858,153,182744,27889,1009,7284,4589,54000,319,172872,631
1996,3520032,215330,194,255789,5782,508255,1164,232802,48,3539,11290,5890,15131,255212,222821,54602,13981,254779,2884,947,1517,281568,3949,4995,872,17147,1036,396,2221,9849,15796,907,9260,6248,670,33105,3325,5874,461062,140,1585,214,1818,20189,6574,170,684,518504,65,49482,395
1998,748201,1063,108,3751,783,46790,13582,157968,68,1251,2070,185,2492,11786,15437,1856,4275,10466,191259,173,739,1316,3941,7751,1428,1120,1489,148,6169,1319,12425,3324,6404,19378,521,5036,971,9890,178820,89,976,35,1555,5634,1180,101,492,5304,63,4966,277
2000,2021792,303,29,1203,33448,223868,1078,227379,70,459643,3333,187,119,21687,9342,1127,9341,2708,201,219,2992,393,299134,332323,478,7019,3097,173,1656,2023,303494,2679,3969,2267,1398,3457,931,938,9454,146,850,35,481,4694,668,29,6677,8471,14795,11753,55
2002,962185,20946,26,6765,284,6109,173808,2455,44,41060,158707,354,309,2178,12346,4842,7687,16232,2822,5499,6272,591,1379,1462,743,765,85,140,1128,579,1191,1527,183091,3135,3710,1673,2100,1416,32234,207,245,1649,3641,17761,224304,82,588,7149,269,460,160
2004,831715,481,38,920,652,6203,8844,5272,65,2277,8241,243,111,10425,290807,1990,1197,1534,115716,538,411,494,1622,2567,411,2545,89,909,579,365,1581,1601,304415,3111,252,1989,417,1610,25570,157,388,1775,1011,12060,853,51,2051,5269,519,1005,505
2006,3037823,423,326,8047,427,13454,12949,250285,219,281978,302545,248,3628,17041,9117,17053,7619,16859,1474,150,527,375,11674,5151,257,736,249,2294,34720,15699,200689,211411,265943,124242,104,465871,470,1020,501207,78,1112,70,667,5906,409,1213,13532,11849,670,19639,196215
2008,2666434,296432,3740,3076,71,398415,1374,5690,173,13355,1384,63,347634,6555,1303,1206,4748,3946,414488,1052,360923,393,20271,11896,1053,14164,86,6728,3894,2982,7697,1542,35870,2335,172,312131,338,463,32822,103,7393,82,489,8017,262,13,322647,3609,597,1934,845
2010,3778669,19150,58,290604,1744,257510,6407,4293,432,6461,16199,2358,949,226303,191427,29548,517,240358,472,1403,1123,6883,21236,41966,4346,20787,126,315,268117,225346,15503,8058,622415,195543,1014,11677,717,4248,431324,2529,2250,18802,1293,114271,4322,90,238506,29999,180523,9124,46
