year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,99444,401,100,178,67,14813,397,3029,1219,8,1893,35,5771,76,7068,838,36743,820,812,1111,0,927,197,1716,350,13076,3962,732,90,2826,420,9797,6275,0,437,913,0,34311,0,5599,308,354,65182,337,3851,55,271,28014,2272,252,16887,143
1980,48316,29997,32,30,0,192,61,472,8042,13,82,150,11943,23,821,147,283,74,23429,2228,2777,3572,0,965,3383,17640,924,60,23,44,50,197,124,14,12235,18,453,70,333,634,386,19593,32,0,189,12,1494,302,123,1713,1852,35
1984,6083,100,20,49,94,139,42,84,101,5,37,154,298,20,316,38,1004,30,73,147,53,1849,5486,127,0,80,128,82,36,24,27,117,130,0,67,39,161,37,265,566,2340,83,53,154,51,19,173,66,348,470,557,22
1988,26808,130,79,82,340,4367,459,1797,291,6,125,101,607,83,8268,142,762,236,187,397,333,5663,588,554,865,110,2711,1032,96,209,75,273,1864,0,124,323,436,144,1893,13076,412,70,933,162,222,23,3501,139,17159,1735,3235,116
1992,124611,1446,270,10008,116,229,2305,782,665,5,7604,103378,394,178,229,1361,1010,1116,4117,1797,469,171,90,497,228,817,541,6000,135,4546,17689,5874,452,0,56563,440,11064,356,400,704,89,2972,1916,2359,2379,139,127,2426,218,304,2082,867
1996,67824,781,101,9328,167,250,18280,99,184,6,763,34068,57,125,115,1193,547,123,44133,220,92,210,25,178,110,1174,1264,5119,130,0,378,190,782,0,1452,1141,1151,625,391,422,38,1157,4035,7564,1224,105,104,10648,243,228,365,148
2000,30612,290,37,1257,1035,364,754,199,280,8,0,244,163,22,288,160,0,96,334,666,980,132,80,1321,7318,138,3907,51,42,3292,28371,133,0,0,366,77,3273,84,0,2562,52,175,117,3627,99,39,327,356,1282,1101,0,20
2004,202100,54,54,453,796,525,2368,396,827,5,1625,162,752,30,512,108,202821,93,117,259,485,206,50,4718,4362,149,750,125,34,6868,30183,1000,0,0,270,45,8938,65,2682,8203,61,108,84,210,85,16,124,775,528,228,0,38
2008,39867,121,85,494,95,95,497,70,63,5,6341,1943,27,63,62,39122,452,166,247,116,233,82,55,142,262,288,0,7404,193,280,465,232,245,0,0,706,2287,53,255,343,35,574,408,196,285,59,31,964,114,185,174,31
2012,83122,69,203,664,75,77,1443,102,137,5,79376,761,11,36,178,458,1029,107,124,154,139,83,69,701,590,303,486,194,68,961,1172,95,568,0,13419,111,4778,23,459,1385,77,468,153,93,146,18,36,2052,254,41,1183,23
2016,141719,49,204,4103,94,45,2103,249,384,6,28185,1341,60,62,164,110,359,58,33,196,3840,0,55,0,11182,176,108,86,85,7145,0,322,635,0,4580,36,535,35,272,103673,175,208,47,67,556,108,48,1458,163,31,84285,22
