year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9412366,1588,219,196359,178,395026,248591,5849,9823,20,5856,7815,18043,167657,240843,222193,303379,189365,3329,12403,483608,9209,5961,236668,1337,25522,35042,2979,3979,4345,1145,40845,15803,36458,16256,2863,4348364,72410,1030592,241113,1297,12424,65750,4164,206553,1503,4955,206862,225382,1650,36868,1949
1978,5605365,1736,792,1822,17492,38934,144674,4984,614,0,24148,1350,48,732,183125,12662,12999,6565,4596,130900,1106,14572,2932,197627,4642,735,1931,1598,5723,38,18427,35541,1899,26893,5002,66,148489,1503,960,173002,3944,3672,129930,918,2485327,4364,28,1232791,16145,494496,2472,446
1980,10436307,62912,1588,84586,837884,179660,35936,239808,16237,24,11881,32048,18096,441665,232191,205213,16740,2582,46910,3601,7045,17220,2536408,233207,13831,46266,9140,627,1183,302,6117,220343,29907,32901,1872409,567,8082,148577,293978,227702,1563,71151,775,1618014,59568,5499,211263,214856,11230,8136,58766,136
1982,3260017,167491,51,167409,1862,29177,1935,193628,3279,0,22978,1351,46,6153,218486,27845,1720,844,1855,0,16871,3913,1158,10978,442435,150042,216535,1718,631,14884,875,15178,6203,9103,179292,159,12299,1495,17225,524903,15842,4767,9865,146757,142591,2119,9947,449598,1380,2805,1730,632
1984,6556545,27900,608,11848,3172,7103,2390,6139,735,16,2730,3563,805,202559,265289,240115,209039,860,1294661,196,400,13871,16151,221662,2086401,183610,8378,693,6256,592,656,4300,595,50656,1099791,123,4489,4341,5236,288127,7334,1117,581,4814,30904,213916,386,9060,1760,8185,2334,121
1986,3190223,1212309,1272,517,356,48622,57914,2193,90,0,1639,35003,235,9718,147857,163959,162428,289,954,14942,1011,133156,468,27815,199644,7389,13660,2236,435,4339,754,1237,243,203913,343088,289046,3905,1546,2084,4443,457,11960,9176,1906,6682,11019,121,2514,36165,208,9266,62
1988,2554563,770,290,782,551,52578,1822,178592,832,19,385657,1370,1588,329,209760,5370,1986,759,1352,1434,871,202251,1828,5614,3932,3667,9561,9795,222954,6232,834,8168,10420,224988,231215,873,2822,4014,227230,20724,2643,9440,2182,1713,7667,852,12028,1731,275525,4295,11448,181228
1990,1779419,13562,5801,808,438,363468,2464,9130,209,0,13550,162115,267,2830,3497,162965,167371,843,126139,3273,24637,1087,7983,3148,16471,179,202187,397,17751,253,4197,29573,140,5521,207039,119,23135,1047,3044,15157,1247,737,1670,969,6038,1831,309,143839,9080,6597,4389,943
1992,6453858,232374,6410,20790,13962,475933,6220,1746171,1716,16,293860,525638,757,1261,5464,26740,292468,4241,12807,248836,2626,12219,5744,293119,543426,1411,32792,17028,15895,17545,57135,18286,1741,77237,129813,1033,272763,7251,9508,505220,312,24065,5972,221107,17356,6943,1103,10819,216200,595,9426,2531
1994,3772755,176019,138,1686,10918,626370,928,188857,510,0,13589,7567,990,800,6008,15082,3408,3389,280364,0,10207,996,10812,14961,248938,1021,4740,2051,186605,152973,2494,151755,1905,338596,172190,2030,198708,7243,264746,191308,1677,5858,153,183225,28086,1057,8150,14588,54704,380,173159,839
