year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,139855,507,111,1434,72,16653,3697,2990,2709,8,2044,2577,5928,385,7074,1142,36841,67616,884,2615,275,2120,2605,48488,407,13072,9132,933,1512,2818,444,11427,6275,39404,6453,901,10031,34620,275,23894,407,3251,65185,1563,3682,428,1668,28224,2277,390,17691,804
1978,647261,974,353,817,28072,55115,997,1542,214,0,7605,698,13,218,1149,5125,5788,3455,2139,0,544,7907,807,8708,1074,257,553,420,1745,12,6726,6844,657,4761,1762,24,1776,448,281,2287,2927,1102,364,295,633255,1956,10,3382,4610,495,607,166
1980,501743,31718,994,34490,106,4752,15688,1612,8073,13,5289,10886,11943,937,989,2149,6032,820,23418,2228,2776,5990,6054,2322,4927,17702,3058,147,568,130,2971,3186,13569,7677,487511,229,2419,45592,958,37277,420,20734,212,94,37872,3562,1494,9155,2891,2479,22779,53
1982,80013,1095,22,170,674,5450,807,3419,1569,0,7655,703,8,1736,5176,23290,375,229,626,0,10034,1241,208,2527,68599,36765,14786,754,199,6119,449,5594,1844,1914,2353,56,4979,760,6271,1005,5313,1448,3764,139,613,604,4805,12845,314,737,289,211
1984,103492,27033,198,7033,1504,928,454,1539,199,5,412,841,300,56,12198,2030,1002,169,897,147,86,4389,5939,2857,374,49814,2205,220,3102,228,188,940,140,9932,84857,42,906,1877,1153,47917,2338,237,176,2023,13439,32,180,3751,538,1789,626,35
1986,89864,145,557,175,92,20488,24449,842,47,0,450,11768,114,5628,4878,3977,43801,69,338,5241,505,1233,83,33727,4958,5000,4177,943,144,1903,286,199,72,46864,7727,17,1303,371,747,651,227,3617,5059,584,1803,2999,49,824,11939,69,2645,35
1988,207497,192,93,176,342,69396,504,186223,293,6,52261,276,672,131,9086,1396,830,244,269,418,331,5665,601,1084,1045,961,2722,4356,244,1795,261,2500,3598,5002,4766,354,579,1877,1901,12998,905,2953,940,295,2203,201,4233,609,21375,1749,3938,127
1990,29607,4508,2798,399,87,6680,544,3418,52,0,3782,1953,148,1042,900,1962,634,179,2426,2299,10624,374,2565,689,7168,68,4100,93,6723,82,2254,6653,40,633,2257,53,21787,472,1433,9164,472,279,907,225,947,652,297,782,2837,2273,1317,287
1992,200386,79871,2352,9880,4101,37742,2377,76555,698,5,8265,107192,396,399,842,7557,9623,1135,4318,1802,1307,6329,1186,1482,395,829,9094,6812,8767,4646,18156,6219,670,13152,56307,544,11259,1325,2674,8782,85,7293,1911,2339,4052,3992,278,2843,45372,309,2995,870
1994,88774,120,62,295,2972,47924,310,1427,233,0,3269,3139,360,286,1104,3238,1285,1126,183,0,4284,219,6130,3783,6393,188,2579,685,460,347,1380,3406,731,36607,4869,959,38838,2436,3760,10130,814,2360,52,1561,5991,370,2592,4700,54578,107,922,325
