year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,36021,0,0,725,0,7392,0,286,515,110,0,379,0,0,195,0,0,0,0,173,220,41,2792,40,0,368,99,2277,80,0,133,372,668,0,104,8756,0,0,2062,272,0,0,2679,306,476,3112,251,33,0,40,1079
1978,2187425,9,29,0,20,0,240,0,280,0,17,0,62,1268,0,6503,541,128,0,130,0,799,4044,304,336,0,559,54,0,14418,474,1500,0,952,0,0,60,128,0,30,525,74,302,437928,0,0,1222256,0,493351,0,119
1980,1166131,7872,1352,62738,219,188,28347,394,0,7048,21996,22,439647,521,1466,1118,97,91,227,0,79,0,0,0,0,4455,0,0,179,4458,0,0,31,337335,0,48,681,1172,12151,0,43,222,0,0,32,209124,0,963,0,21830,0
1982,91409,0,0,255,0,1538,0,3216,581,140,0,15,0,0,1073,0,0,0,0,166,103,168,283,1765,89,25327,418,45,11405,0,8134,1179,11,0,86,303,0,0,166,11548,0,0,146,272,243,7824,14372,38,59,78,379
1984,1334943,115,39,0,368,0,87,0,209,0,20,0,36,20724,0,550,26,1292407,0,35,0,792,3618,244,178,0,327,5438,0,210,85,33,0,4773,0,0,29,75,0,39,57,30,98,274,0,0,51,0,3964,0,26
1986,1642574,1211897,822,192,123,33991,31202,85,0,916,22088,31,7794,74,132,78,42,34,2431,0,176,0,0,0,0,2618,0,0,2700,74,0,0,1774,0,289013,118,596,103,402,0,91,7435,0,0,32,92,0,19854,0,5581,0
1988,457867,0,0,302,0,1036,0,138225,115,103182,0,24,0,0,49,0,0,0,0,19,126,78,147,359,1318,62,5635,312,3489,0,1174,101,49,0,174,358,0,0,59,990,0,0,88,214,59,47,39,15185,94,3809,180964
1990,32987,146,85,0,4,0,358,0,87,0,0,0,131,91,0,1046,33,3978,0,134,0,450,284,10502,0,0,49,251,0,63,8386,38,0,3302,0,0,16,1481,0,126,72,1522,50,152,0,0,19,0,51,0,95
1992,1598891,80,336,102,181,2759,922,1500661,0,75,45316,76,457,606,323,38,67,121,0,0,48,0,0,0,0,1419,0,0,552,10552,0,0,3578,4245,196,996,182,2399,11255,0,7748,83,0,0,278,560,0,1215,0,1482,0
1994,59918,0,0,336,0,20204,0,453,423,49,0,29,0,0,48,0,0,0,0,152,227,216,818,2689,48,140,122,760,705,0,6711,1161,226,0,324,327,0,0,13441,83,0,0,324,155,41,847,7826,576,60,240,175
1996,1794467,1486,17,0,2227,0,2467,0,135,0,42230,0,279,302,0,2966,89,499,1700102,2459,0,1329,247,848,44,0,2911,373,0,8818,769,57,0,1549,0,0,257,5200,0,87,963,11808,119,702,0,0,2569,0,27,0,547
1998,1624494,110,27,49,417,676,93,83,0,128,1376,17,47,10481,93,53,67,1145414,63,0,51,0,0,0,0,944,0,0,435864,52,0,0,6878,4502,77,493,56,85,105,0,1574,124,0,0,81,31,0,254,0,14145,0
2000,2545204,0,0,14,0,225,0,97,503,3234,0,35,0,0,59,0,0,0,0,44,118,21,22658,2692,68,17879,6657,14943,320,0,7833,142,436,0,155,139,0,0,1270,323,0,0,78,71,77,44,3530,2461379,21,128,26
2002,369015,203,16,0,1327,0,3199,0,245,0,1442,0,64,143,0,695,14,79,229,270,0,22,129,15162,17,0,86,15,0,3886,709,79,0,1074,0,0,145,251,0,21,590,337501,726,524,0,0,13,0,117,0,39
2004,519633,60,7382,21,549,157,2974,70,0,68393,237,27,6,46,134,43,41,40043,114,0,68,0,0,0,0,437,0,0,107,71,0,0,44,3728,57,104,599,67,661,0,913,391188,0,0,45,35,0,528,0,701,0
2006,2805489,0,0,766,0,142,0,712,53,151,0,125,0,0,12,0,0,0,0,27,796,52,343,184,86,12397,406505,97,394,0,301,46,14,0,45,498,0,0,227,1359,0,0,9024,127,71,61,2370445,307,25,57,54
2008,3222366,142,317723,0,19,0,774,0,87,0,356,0,141,48,0,115,133,2366,1765,133,0,60,92,2887646,156,0,36,277,0,1896,384,169,0,997,0,0,226,5283,0,40,368,145,69,514,0,0,88,0,106,0,27
2010,64772,72,3783,117,178,765,27834,14,0,165,215,26,34,0,284,92,32,583,203,0,107,0,0,0,0,409,0,0,2151,165,0,0,12,529,22,236,40,233,19683,0,57,0,0,0,85,74,0,2942,0,3642,0
2012,400342,0,0,7002,0,120,0,15,55,422,0,123,0,0,2159,0,0,0,0,139,77,1408,164,62,324,310,4446,276,50653,0,185,2273,14,0,321144,2248,0,0,929,95,0,0,54,323,57,34,2279,175,122,2648,24
2014,209509,7,14456,0,244,0,21616,0,398,0,1513,0,79,569,0,1061,578,336,3384,62,0,133,411,741,139,0,206,69,0,6374,397,642,0,30965,0,0,52,201,0,45,204,151,78,102,0,0,124194,0,90,0,27
2016,820667,96,238,414,150,143,2436,25,0,1271,471,35,50,316,827,120,92,373,371,0,124,0,0,0,0,11000,0,0,12481,739140,0,0,1437,2306,17,154,39,112,39676,0,9,39,0,0,43,87,0,203,0,6388,0
2018,8244662,0,0,12122,0,1039,0,15,140,8190005,0,39,0,0,1820,0,0,0,0,205,58,126,1782,197,325,1949,5466,233,2746,0,586,114,4449,0,639,1535,0,0,614,145,0,0,657,9746,65,44,265,281,6560,660,51
