year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,75346,359,25,1443,21,2221,3387,690,3433,620,3007,2273,643,1088,1117,2929,4358,459,3389,204,2813,1881,35736,199,80,28960,477,560,7,194,6755,36,28448,5854,98,10543,21171,230,41763,61,5824,37,249,1021,325,34,1717,292,369,2398,364
1978,70672,832,452,809,22821,31925,1167,1918,148,28289,620,18,216,779,2740,1858,2973,2300,0,353,6071,932,6708,1399,128,483,370,3621,15,57,31967,82,6554,1323,30,1865,498,278,2603,2279,1170,294,190,13643,2394,14,4428,4821,350,551,138
1980,66583,2857,29,171,12,5459,792,1943,89,756,175,10,890,340,1727,5604,888,162,73,47,4775,3012,3172,2729,542,562,207,427,22,109,1716,33533,10927,45480,340,2015,747,391,11176,324,7782,178,92,42444,2884,10,9542,4327,1970,11309,33
1982,24774,1267,26,69,892,7067,543,2933,1347,8801,358,10,2267,5833,8169,349,328,564,0,9699,1587,252,3320,3994,1316,1198,605,224,233,440,2007,2525,1926,2352,21,3054,589,7772,1303,515,1225,5461,96,839,967,19,1012,271,1117,400,27
1984,64490,36482,239,6281,1177,1133,822,2274,144,760,1048,18,40,1934,2146,201,284,1002,0,81,3853,1529,2133,438,512,3133,73,88,175,257,973,126,38212,30034,13,1125,2019,1677,28753,63,281,201,2487,7662,33,37,4120,451,657,346,17
1986,60733,124,202,73,87,551,7449,921,49,108,964,78,554,5370,4382,592,69,399,6107,589,1354,92,38209,5919,2666,3347,1297,162,454,319,197,74,36151,8696,14,793,210,794,933,234,4240,119,813,2039,5255,5,763,8552,60,486,29
1988,53190,172,59,56,29,50021,121,102,20,1823,257,445,74,1834,1523,320,81,194,247,136,74,69,1029,446,764,929,261,34,189,341,3273,2776,6706,5995,20,329,1950,101,358,375,3698,33,346,2063,260,3027,513,360,109,174,38
1990,30607,5724,2828,213,141,4740,803,2787,37,4651,2151,96,1400,733,1099,51,168,128,1960,12899,273,2724,585,720,62,4569,127,7581,96,1656,6003,32,616,660,73,21447,348,565,7510,469,236,36,274,1600,795,149,1120,3117,2315,1517,383
1992,47194,1167,2297,1320,5436,27319,431,233,372,2566,1161,26,145,745,8973,11722,405,2028,134,802,5766,1643,1057,202,135,11097,3403,7990,3446,319,1244,267,33798,1476,203,1955,2490,3066,4392,21,3577,28,211,3989,2944,62,2367,1447,49,1171,140
1994,92414,125,64,414,5718,68304,423,1026,32,6067,3042,407,323,1263,3967,884,1280,255,0,4767,169,4776,3503,7538,289,1762,1033,64,34,835,247,74,1446,5607,816,4642,2951,6196,8816,979,2464,70,986,16252,280,3844,1643,45752,112,883,300
1996,89585,4246,108,122,2122,3637,353,2561,23,800,3424,2714,7668,4243,756,63473,5049,1054,1724,505,328,2107,789,1876,250,7699,482,124,1228,5010,5986,361,1476,1790,334,7733,1078,2806,1318,50,742,114,414,5967,2568,95,129,6302,30,51473,160
1998,24663,361,44,1396,277,9973,6570,231,37,477,624,69,1264,4589,7846,888,1786,2512,6,86,216,414,833,3019,735,360,760,43,2915,631,4765,1464,1415,18353,452,1810,243,3823,1681,32,321,17,816,829,546,40,104,1892,20,1801,148
2000,72281,86,16,364,45995,32080,389,422,39,320,903,69,45,7808,2323,368,4631,815,43,105,1350,60,248,48328,169,2575,1576,57,1041,1078,1583,1406,487,584,1017,883,265,342,2845,69,244,17,127,801,217,12,3623,3607,9918,4951,30
2002,54251,23897,15,2981,96,1256,325,1078,29,45684,3167,149,138,407,2825,1635,3982,6464,1189,3220,2132,105,211,429,344,197,40,66,421,212,206,646,785,760,1618,277,750,731,8303,79,65,964,2186,4086,66,39,142,3929,93,91,91
2004,13023,138,23,209,188,1143,3349,1922,35,486,3566,82,33,4661,1102,485,458,634,475,227,88,93,238,1077,97,961,40,402,255,188,384,767,801,707,113,333,152,551,10987,79,120,1031,311,5714,330,31,611,2353,210,268,321
2006,59556,124,168,4355,146,2017,4654,3329,71,41364,82,104,1950,4950,2446,8705,3740,7553,429,56,153,61,4038,1719,89,106,153,709,38268,9899,345,168,9097,777,56,2267,113,326,3366,27,297,46,147,1095,135,549,6406,5646,283,10403,0
2008,24043,4030,2785,859,20,9419,303,1904,86,2947,287,25,25,1737,281,306,1855,1704,4655,545,135,60,6031,5786,406,5853,39,3516,1472,1046,2438,608,14259,412,94,2711,82,187,10294,42,3298,49,95,1904,84,5,1869,2135,307,639,355
2010,45134,8896,25,2433,523,4056,2453,1357,285,1394,7381,1124,560,12210,559,10581,135,670,112,630,259,2116,9279,36546,1940,7356,85,143,102,343,6376,3072,5538,1391,652,2866,309,1273,1850,1239,774,10808,395,2248,2107,56,4571,10253,250,3897,26
2012,89544,132,45,4414,341,12709,12931,8372,56,4074,924,460,72,1727,815,1102,186,3411,177,156,121,139,1328,767,117,134,403,56214,1249,3226,818,214,76386,1529,217,3059,170,351,5025,265,938,272,550,2728,45,22,1258,719,596,648,20
2014,37434,65,419,2635,660,20285,1050,1200,82,6057,625,3105,101,25198,250,10265,240,149,171,2045,191,583,1087,1108,50,1386,213,3207,5119,3847,537,223,2115,369,147,200,90,238,610,142,291,54,172,509,2438,32,367,682,3955,387,21
2016,80075,625,197,748,105,8607,861,231,215,6550,198,22,50,2510,227,1294,449,128,629,465,200,117,521,11888,75,198,178,35,3773,79519,2212,106,2444,623,22,198,96,547,1127,81,165,41,129,564,431,7,1800,624,160,189,62
2018,75521,140,939,1147,841,9315,983,372,49,57372,258,30,158,2533,946,14227,558,4568,81,74,161,188,3049,2781,133,3279,2301,8342,817,583,2534,43051,33285,3065,59,3041,125,400,13056,88,367,69,106,13296,126,28,18381,2493,476,516,36
